INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR
JEANV_186,R&B NIGHT,2026-02-13,10:00 PM,THE ROYCE AC,ATLANTIC CITY,SOUTH,"GET READY FOR A NIGHT OF SMOOTH R&B, SLOW DANCES, AND SEXY VIBES AT THE ROYCE AC!",HTTPS://WWW.INSTAGRAM.COM/P/DUINDAHKBLQ/,HTTPS://SCONTENT-DFW5-1.CDNINSTAGRAM.COM/V/T51.2885-15/627659031_1722481335383062_2839846256404406636_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-DFW5-1.CDNINSTAGRAM.COM&_NC_CAT=110&_NC_OC=Q6CZ2QEXLWMSIPZ4YXC_KZVR5VATLTFASUZWYVYYGQWKINPJBLC8N4_KQ9QISIPBOGEH7EW&_NC_OHC=VOQZZXOT55AQ7KNVWGQNRKZ&_NC_GID=NM2E0GW-KUCO8_EUMEFC8G&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFUW86DKGRHT_35GA5PO15S08FHZ8B-JL2ND5E1IP478UQ&OE=699179E2&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUINDAHKBLQ/,HTTPS://WWW.INSTAGRAM.COM/JEANV_186/,NIGHTLIFE,,DIM LIGHTS. SMOOTH R&B. SLOW DANCES. GOOD ENERGY. SEXY VIBES. ALL NIGHT LONG.,DJ ROOK,,0.95,3828794391671191888,True,True
ISLANDVIBESNJ,THE WINTER FASHION PARTY EXPERIENCE,2026-02-20,10:00 PM,24K LOUNGE,ELIZABETH,CENTRAL,GET READY TO PARTY AT THE WINTER FASHION PARTY EXPERIENCE!,HTTPS://WWW.INSTAGRAM.COM/P/DUDK-DSGKCV/,HTTPS://SCONTENT-IAD3-1.CDNINSTAGRAM.COM/V/T51.2885-15/626542088_18326165749221998_5388687823347272279_N.JPG?STP=DST-JPG_E15_FR_P1080X1080_TT6&_NC_HT=SCONTENT-IAD3-1.CDNINSTAGRAM.COM&_NC_CAT=102&_NC_OC=Q6CZ2QGMV_DP7AOE2VR2EMB7CIMJ48LEO6W9EBF9_IB2NT9A68TGF8_UJVEQKJIBLE4_LZG&_NC_OHC=JUKGOA0QTAMQ7KNVWHHTXA6&_NC_GID=STVVNDGFYQ-HWH_IR0BWLA&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFSTQBK673LCKDNDLPM9XCFDLF28NRVPIKV2PD2JY1IDUA&OE=6991730F&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUDK-DSGKCV/,HTTPS://WWW.INSTAGRAM.COM/ISLANDVIBESNJ/,PARTY,ISLAND VIBES,"PLAYING THE HOTTEST SOCA, REGGAE, DANCEHALL AFROBEATS & KOMPA TUNEZ. BOTTLE SPECIALS AND VIP SECTIONS AVAILABLE.",TOP CARIBBEAN DJS,FREE RSVP,0.95,3827377852584599701,True,True
MOTIF.JPG,PHOTO SHOOT OF LIL YACHTY,2026-02-10,,,,,SEE THE FIRST SHOT FROM THE MEDIUM FORMAT PHOTO SHOOT FEATURING LIL YACHTY!,HTTPS://WWW.INSTAGRAM.COM/P/DUJTQD_DA88/,HTTPS://SCONTENT-LAX7-1.CDNINSTAGRAM.COM/V/T51.2885-15/631732514_18421768990188209_6517169355665533265_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-LAX7-1.CDNINSTAGRAM.COM&_NC_CAT=105&_NC_OC=Q6CZ2QHUABHDWJX8N31OFSJMZUFJPOCQWQ9P1SQYJVKIHS-RZL3KZLA8D6VNZXRVKFCUF2I&_NC_OHC=DMPEXE9X-MGQ7KNVWF6NY8G&_NC_GID=S7TFU10DVOULU3ZZRH1EFW&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFVSRJELWAOTZBIERMQHJCEXJA5UTLPXKI7YYEDVGH-VAA&OE=699187DD&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUJTQD_DA88/,HTTPS://WWW.INSTAGRAM.COM/MOTIF.JPG/,PHOTOGRAPHY,SHOOTER OF THE EAST,PHOTO SHOOT,LIL YACHTY,,0.95,3829103124078661436,True,False
KOMPAVILLE,DJ HEAVY BIRTHDAY EXTRAVAGANZA,2026-03-07,10:00 PM,SECRET ROOM NYC,NEW YORK,,CELEBRATE DJ HEAVY'S BIRTHDAY WITH A NIGHT OF KOMPA MUSIC AND VIBRANT ENERGY!,HTTPS://WWW.INSTAGRAM.COM/P/DUEXGTEKHQM/,HTTPS://SCONTENT-IAD3-1.CDNINSTAGRAM.COM/V/T51.2885-15/628306305_18084228044334772_909690450733403087_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-IAD3-1.CDNINSTAGRAM.COM&_NC_CAT=104&_NC_OC=Q6CZ2QHDPRXQ6O5ZINCPGCQQWXAOSXC8CHX79LDUZAFTWZKUQZZB9TXQL27JX6UG5FLRUEQ&_NC_OHC=E0EBN0EAZDOQ7KNVWHDPADP&_NC_GID=-V3N0FD5GDRZAW09IQXDQQ&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFSGKJEH_DIPEWEN9P6ZEQULEZMLF4TMJESNOV7YZFCOZG&OE=69916B44&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUEXGTEKHQM/,HTTPS://WWW.INSTAGRAM.COM/KOMPAVILLE/,PARTY,KOMPAVILLE🇭🇹,"THE ULTIMATE KOMPA FANTASY…WHERE THE GOUYAD IS NONSTOP, THE VIBES ARE UNMATCHED, AND THE ENERGY IS UNLIMITED‼️",@DJHEAVY_USA AND FRIENDS,,0.95,3827598321612100646,True,False
JEANV_186,HAPPY HOUR WITH HOUSE MUSIC,2026-02-20,10:00 PM,ROYCE SOCIAL HALL,ATLANTIC CITY,SOUTH,"DANCE THE NIGHT AWAY WITH HOUSE MUSIC, GOOD VIBES, AND DRINK SPECIALS AT ROYCE SOCIAL HALL!",HTTPS://WWW.INSTAGRAM.COM/P/DUKOWSPJAO3/,HTTPS://SCONTENT-ATL3-3.CDNINSTAGRAM.COM/V/T51.2885-15/630146985_1424378409155453_2722407563634157928_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-ATL3-3.CDNINSTAGRAM.COM&_NC_CAT=105&_NC_OC=Q6CZ2QHFSZQM_AJ5FXHRSLEXATKAXJKFLX63EMMS809ZUY_BAWES_HY6U3C8NOIVH_5VAPQ&_NC_OHC=FEAYGRHRWU8Q7KNVWGYC4YI&_NC_GID=PFOK0MJX9VOYXT9-QGEYCQ&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFUYUQFVKZDSG6BXNEGTDVVHIFWNU2YDFXURQM-OSCSMKG&OE=69916069&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUKOWSPJAO3/,HTTPS://WWW.INSTAGRAM.COM/JEANV_186/,HAPPY HOUR/PARTY,,"HAPPY HOUR WITH HOUSE MUSIC, GOOD ENERGY, LATE-NIGHT VIBES, BOTTLE SERVICE.  FIRST 200 PEOPLE. DRINK SPECIALS.","ELLIX ETHN, THOMAS, SABS",FREE,0.95,3829248687239701431,True,False
JEANV_186,EXCLUSIVE ALL BLACK PARTY,2026-02-21,10:30 PM,ROYCE SOCIAL HALL,ATLANTIC CITY,SOUTH,GET READY FOR AN EXCLUSIVE ALL BLACK PARTY WITH SMOOTH SOUNDS AND LATE-NIGHT VIBES!,HTTPS://WWW.INSTAGRAM.COM/P/DUKPITWDRO-/,HTTPS://SCONTENT-MIA3-1.CDNINSTAGRAM.COM/V/T51.2885-15/632566900_1571015501124174_6755546410192157509_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-MIA3-1.CDNINSTAGRAM.COM&_NC_CAT=106&_NC_OC=Q6CZ2QF28JLTHOCDDARQL1UW87ITFEFRSFKK-LYQXKKLOCZZV4RWYA1ZYPGX43Y13YGU_V8&_NC_OHC=MDGDHJETSQEQ7KNVWHCLPI9&_NC_GID=2I7F8PDNFRYJYIROFNMHMW&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTL5S8MWL4CLFB_2QBHBSEOLPS5IR06M39XB5BYXXB8UG&OE=69918E7C&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUKPITWDRO-/,HTTPS://WWW.INSTAGRAM.COM/JEANV_186/,PARTY,,HOSTED BY BLACKSEEDS ENT & REAL WIVES OF SJ. VIP SECTIONS & BOTTLE SERVICE AVAILABLE. DRESS CODE STRICTLY ENFORCED: NO WORK BOOTS & NO COATS. COAT CHECK AVAILABLE $5. SECTIONS/VIP HIGHLY RECOMMENDED. VIP & TABLES: 609-418-1276,DJ RUDE BOI & FRIENDS,,0.95,3829253939019977662,True,False
ISLANDVIBESNJ,THE WINTER FASHION PARTY EXPERIENCE,2026-02-20,10:00 PM,24K LOUNGE,ELIZABETH,CENTRAL,GET READY TO PARTY AT THE WINTER FASHION PARTY EXPERIENCE!,HTTPS://WWW.INSTAGRAM.COM/P/DUGUKH1KHLT/,HTTPS://SCONTENT-LAX3-1.CDNINSTAGRAM.COM/V/T51.2885-15/627699841_18326280055221998_7065245718324106240_N.JPG?STP=DST-JPG_E15_FR_P1080X1080_TT6&_NC_HT=SCONTENT-LAX3-1.CDNINSTAGRAM.COM&_NC_CAT=102&_NC_OC=Q6CZ2QFZQBLQK52BXKZT7RARF7WORD1TDJTSGPPPB6OCXJR3G_QBVY4W_LWRLGIOQL4XBKQ&_NC_OHC=L0DPYTCT6JEQ7KNVWGARXHV&_NC_GID=AMMM-QPQJ9YJLUBFSINAIG&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTN43OF154TGTIKCACTPQJNNIL5REQFZBONBEPYPVX7AQ&OE=69916406&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUGUKH1KHLT/,HTTPS://WWW.INSTAGRAM.COM/ISLANDVIBESNJ/,PARTY,ISLAND VIBES,"PLAYING THE HOTTEST SOCA, REGGAE, DANCEHALL AFROBEATS & KOMPA TUNEZ. MUST BE 21YRS OR OLDER, DRINK RESPONSIBLY.","TOP CARIBBEAN DJ'S, YAR, YUNG RAGE",FREE RSVP TIX AVAILABLE,0.95,3828264503637842285,True,True
MARINAGRILLE.NJ,LIVE MUSIC: VINYL MADNESS,2026-02-06,8:00 PM,MARINA GRILLE,BELMAR,CENTRAL,ESCAPE THE COLD AND ENJOY LIVE MUSIC WITH VINYL MADNESS!,HTTPS://WWW.INSTAGRAM.COM/P/DUBWAUHAFIR/,HTTPS://SCONTENT-DFW6-1.CDNINSTAGRAM.COM/V/T51.2885-15/626303573_954936673871643_8823619613973408754_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-DFW6-1.CDNINSTAGRAM.COM&_NC_CAT=103&_NC_OC=Q6CZ2QHE0HOJQAA7G0KEW8UVDINAUXAD2P4_SRFZ3ZU2KR4OQCPQU70DMAKJWH6ZPXSDPJM&_NC_OHC=JQJ7_O4V6WAQ7KNVWHXOSZ7&_NC_GID=N49ACRILJUJOJKIVQ6HXIA&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFU3S50FXIV1ULWZCML_ZYHAPU-TG5FW5EPT080732ILGG&OE=69917403&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUBWAUHAFIR/,HTTPS://WWW.INSTAGRAM.COM/MARINAGRILLE.NJ/,LIVE MUSIC,MARINA GRILLE,,@VINYLMADNESSNJ,,0.95,3826749086997017105,True,True
MARINAGRILLE.NJ,LIVE MUSIC: KICKIN' WING BAND,2026-02-07,8:00 PM,MARINA GRILLE,BELMAR,CENTRAL,KEEP THE LIVE MUSIC GOING WITH THE KICKIN' WING BAND!,HTTPS://WWW.INSTAGRAM.COM/P/DUBWAUHAFIR/,HTTPS://SCONTENT-DFW6-1.CDNINSTAGRAM.COM/V/T51.2885-15/626303573_954936673871643_8823619613973408754_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-DFW6-1.CDNINSTAGRAM.COM&_NC_CAT=103&_NC_OC=Q6CZ2QHE0HOJQAA7G0KEW8UVDINAUXAD2P4_SRFZ3ZU2KR4OQCPQU70DMAKJWH6ZPXSDPJM&_NC_OHC=JQJ7_O4V6WAQ7KNVWHXOSZ7&_NC_GID=N49ACRILJUJOJKIVQ6HXIA&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFU3S50FXIV1ULWZCML_ZYHAPU-TG5FW5EPT080732ILGG&OE=69917403&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUBWAUHAFIR/,HTTPS://WWW.INSTAGRAM.COM/MARINAGRILLE.NJ/,LIVE MUSIC,MARINA GRILLE,,@KICKINWINGBAND,,0.95,3826749086997017105,True,True
JUST__TAINE,AFTER DARK: AN R&B VALENTINE,2026-02-14,9:00 PM,VERA CHERRY HILL,CHERRY HILL,SOUTH,CELEBRATE VALENTINE'S NIGHT WITH SLOW JAMS AND DARK VIBES AT VERA CHERRY HILL!,HTTPS://WWW.INSTAGRAM.COM/P/DUBZAZMKDUS/,HTTPS://SCONTENT-ORD5-3.CDNINSTAGRAM.COM/V/T51.2885-15/629192964_1568162677787118_6139739128293562075_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-ORD5-3.CDNINSTAGRAM.COM&_NC_CAT=106&_NC_OC=Q6CZ2QFWAAM87__HQGIKF8RHLX8JXH0LE4RKRGX8FDKTDDSOM01NRYRJ_IJNRHXKJETCDY0&_NC_OHC=FFI49803G5AQ7KNVWEEF4S-&_NC_GID=FS1FVAKEGUDNGAMSW7BNLQ&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFVTPVD_KZCUXLHASZP84BGBSKBZ22PWEPCV7QFDPGYM2A&OE=699159B8&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUBZAZMKDUS/,HTTPS://WWW.INSTAGRAM.COM/JUST__TAINE/,R&B,FONTAINE HOLLAND,"R&B MADE FOR EYE CONTACT. SLOW JAMS. DARK VIBES. REAL R&B ENERGY. FROM CLASSIC HEARTBREAK ANTHEMS TO NEW-SCHOOL LATE-NIGHT R&B, THIS IS WHERE THE LOVERS, SINGLES, AND SITUATIONSHIPS ALL LINK UP. COCKTAILS FLOWING, R&B ALL NIGHT, GROWN & SEXY ATMOSPHERE. VIP SECTIONS & BOTTLE SERVICE AVAILABLE.","@DJCAUTION856, @DJELZEE",,0.95,3826876664161360812,True,True
