INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,PROCESSED TIMESTAMP
MONETA.KAI,BROWN SUGAR,2026-02-15,,,,,GET READY FOR BROWN SUGAR TOMORROW!,https://www.instagram.com/p/DUwKhtDETfP/,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/628493428_793769113084523_1245856076860379594_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGMPivjP_leEYWKnVAtQ2P5-S6hSHT6jQpBH51O2wFSDUb1YeGx3ZeFOkciLNyM8ok&_nc_ohc=3-EU5xDAAQUQ7kNvwFMQfEf&_nc_gid=iTOH3QSZC7zDxW4kIFbPHA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftXbR9M477dfWHeHoxjYPMOIFPW0YbgSLCM_1vXjYUvIg&oe=699D0A5D&_nc_sid=10d13b,https://www.instagram.com/p/DUwKhtDETfP/,https://www.instagram.com/moneta.kai/,PARTY,MONETA-KAI,BROWN SUGAR IS HAPPENING TOMORROW. GET YOUR OUTFIT AND TICKET. KEESEY WILL HAVE THE DANCE MOVES.,,,0.8,3832609579469977551,True,False,2026-02-19 15:11:45
MONETA.KAI,JERSEY PEOPLE BRUNCH DURING BLACK HISTORY MONTH,,,,,,CELEBRATE BLACK HISTORY MONTH WITH A JERSEY BRUNCH!,https://www.instagram.com/p/DUwKhtDETfP/,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/628493428_793769113084523_1245856076860379594_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGMPivjP_leEYWKnVAtQ2P5-S6hSHT6jQpBH51O2wFSDUb1YeGx3ZeFOkciLNyM8ok&_nc_ohc=3-EU5xDAAQUQ7kNvwFMQfEf&_nc_gid=iTOH3QSZC7zDxW4kIFbPHA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftXbR9M477dfWHeHoxjYPMOIFPW0YbgSLCM_1vXjYUvIg&oe=699D0A5D&_nc_sid=10d13b,https://www.instagram.com/p/DUwKhtDETfP/,https://www.instagram.com/moneta.kai/,BRUNCH,MONETA-KAI,WHEN JERSEY PEOPLE BRUNCH DURING BLACK HISTORY MONTH.,,,0.9,3832609579469977551,True,False,2026-02-19 15:11:45
AWAKENJCOPENMIC,OPEN MIC NIGHT,2026-02-21,6:00 PM,VIP RESTAURANT DINER,JERSEY CITY,NORTH,"JOIN AWAKEN JC FOR AN INSPIRING OPEN MIC NIGHT CELEBRATING LOVE, BOUNDARIES & SELF-WORTH THIS SATURDAY!",https://www.instagram.com/p/DUtqQVcicNW/,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/629752958_17895027804404500_3787024772772753142_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QE_ZtAdvvLdKEXNkqeC2wvpey9pBPrGtC8osgMxyajMXdN6WLDNkjAvGCUbK5pF5Fw&_nc_ohc=v8LoYTVrgUQQ7kNvwGU1xji&_nc_gid=oQs87Bt1OcB-ZhplcBtrEQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfvwY0ScFCVkGb3bMfBh9bhbEYInqjqeZ9xQaM0IgPvVpA&oe=699D0AC6&_nc_sid=10d13b,https://www.instagram.com/p/DUtqQVcicNW/,https://www.instagram.com/awakenjcopenmic/,OPEN MIC,AWAKEN JERSEY CITY OPEN MIC,"CELEBRATING BLACK HISTORY MONTH WITH A FOCUS ON LOVE, BOUNDARIES & SELF WORTH. FEATURING LIVE MUSIC AND SPOKEN WORD.  A WINTER BLANKET DRIVE IS ALSO HAPPENING.","@NATE_THEGREAT313 X @AWAKENJCOPENMIC BAND, @MATISS.CUDARS, @MOBASS623, @CORYCHRYZ, @CHALLENGES_INLIFE, @SANDRASMALLMUSIC",FREE BEFORE 7 PM | $10 ADMISSION AFTER,0.9,3831904698454623062,True,False,2026-02-19 15:11:45
OLMCNEWARK,4TH ANNUAL NEWARK SUNDAY SAUCE CONTEST,2026-04-18,1:00 PM,HOLY TRINITY EPIPHANY CHURCH,NEWARK,NORTH,GET READY FOR A SAUCE SHOWDOWN IN THE IRONBOUND!,https://www.instagram.com/p/DU6LWqfjtN4/,https://instagram.fpia1-1.fna.fbcdn.net/v/t51.2885-15/637277140_17905000962360337_6945599736197370288_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fpia1-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHbhwNHunZ6NW-SxmXvAAUibylm1nX5GSFEczhbr5PY_BJ-nKUEkX5AgsThx-EzPUE&_nc_ohc=s7-zJjfdRAcQ7kNvwG5i9aJ&_nc_gid=wZQTTHqLosO2yCSs7MyEpg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuVhalSkFGe3DD53JefKNA5h8KW5V6E9DrvJ8nDkGJUmw&oe=699CF0F2&_nc_sid=10d13b,https://www.instagram.com/p/DU6LWqfjtN4/,https://www.instagram.com/olmcnewark/,CONTEST,OUR LADY OF MOUNT CARMEL - NEWARK,"THE 4TH ANNUAL NEWARK SUNDAY SAUCE CONTEST. PRIZES GO TO THE 1ST, 2ND, AND 3RD PLACE WINNERS. JUDGING WHO MAKES THE BEST GRAVY.",,$30,0.9,3835427968626119544,True,False,2026-02-19 15:11:45
CULTUREANDSOULPROD,WORDS UNLEASHED,2026-02-22,,"NEWARK, NEW JERSEY",NEWARK,NORTH,UNLEASH YOUR WORDS AT THIS POWERFUL OPEN MIC NIGHT!,https://www.instagram.com/p/DUzCF6CkVCA/,https://instagram.feat1-1.fna.fbcdn.net/v/t51.2885-15/635252727_17935692411158900_6684045133658721342_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.feat1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEfMbQtNN-UpGlXUI1o9ET7VLT6tPWjEk4Kml1V9SR6lzmueH3HlIUIM-C2eygum0U&_nc_ohc=LGZyVCLjqMwQ7kNvwG9lj1Z&_nc_gid=ztgN0sYAflu7Nnp1xijT_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfvTcAuvTAtsd_1ARl7bQrnsEr9kBMVzhvapsJ4fYLHSXw&oe=699CF015&_nc_sid=10d13b,https://www.instagram.com/p/DUzCF6CkVCA/,https://www.instagram.com/cultureandsoulprod/,OPEN MIC,CULTURE & SOUL PRODUCTIONS,AN OPEN MIC EVENT WHERE CREATIVES SHARE THEIR ART AND STORIES. THE CAPTION MENTIONS THAT THIS IS PART OF A MONTHLY SERIES OF EVENTS BUILDING SAFE SPACES FOR CREATIVES.,,,0.8,3833416909832933504,False,False,2026-02-19 15:11:45
CULTUREANDSOULPROD,WORDS UNLEASHED OPEN MIC NIGHT,2026-02-22,5:30 PM,THE ATELIER,NEWARK,NORTH,CATCH LIVE MUSIC AND PERFORMANCES AT OUR WORDS UNLEASHED OPEN MIC NIGHT!,https://www.instagram.com/p/DU6uwe9kUEz/,https://instagram.fcre1-1.fna.fbcdn.net/v/t51.2885-15/639728636_17936058522158900_7115253847004241600_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fcre1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFOP3SySHMzyRJFPFdU3yPrSEKeTelbA7mc6KaWI8Bqk-puOCLIrZZPHaJZy7fB6PQ&_nc_ohc=Sgg_gGODOdMQ7kNvwHGwdT8&_nc_gid=x7Q8jwX65dNkftY3jxFT0A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftLMGC8Rg0ZOGsKytG6ITMPiIhUXn5Z5NSmzK9cbOQr7g&oe=699CFE77&_nc_sid=10d13b,https://www.instagram.com/p/DU6uwe9kUEz/,https://www.instagram.com/cultureandsoulprod/,OPEN MIC NIGHT,CULTURE & SOUL PRODUCTIONS,"JOIN US FOR AN EXCITING SHOWCASE OF PERFORMING ARTISTS AT OUR WORDS UNLEASHED OPEN MIC NIGHT, FEATURING VOCALIST AND MULTI-INSTRUMENTALIST @MALCOLM_XV. SIGN UP IS FIRST COME, FIRST SERVE.",@MALCOLM_XV,FREE WITH ENTRY (FREE DRINK WITH ENTRY),HIGH,3835583674578977075,True,False,2026-02-19 15:11:45
HOTSPOTSNJ,SINGLES NIGHT,2026-03-05,7:00 PM,THE NEWARK STANDARD BAR & LOUNGE,NEWARK,NORTH,ELEVATE YOUR EVENINGS WITH CURATED CONNECTIONS AT NEWARK'S SINGLES NIGHT!,https://www.instagram.com/p/DU6CvzVDtOg/,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/632294730_2153872088685108_5627660129577786654_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFDIwDS7Spi6sFcnvdfk0JC70UYMgEXS4Uxs39wJpsntoBrGDiRVL1wzozwioUZH4w&_nc_ohc=Qyv0j34DHVEQ7kNvwHFY1M5&_nc_gid=1ZWVxJ444N8lHX0upz0Onw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aftn9EuNrz22cPHP2n3ZwYT-3ryAuNhWxklcdLPS9ZNk3g&oe=699CD746&_nc_sid=10d13b,https://www.instagram.com/p/DU6CvzVDtOg/,https://www.instagram.com/hotspotsnj/,SINGLES NIGHT,HOTSPOTSNJ,"THIS ISN’T JUST ANOTHER SINGLES NIGHT. IT’S CURATED. IT’S INTENTIONAL. IT’S ELEVATED. AN EVENING DESIGNED FOR REAL CONNECTIONS, NOT RANDOM ENCOUNTERS. FEATURING 1-ON-1 CONNECTION MOMENTS, RAFFLES & ELEVATED GIVEAWAYS, INTENTIONAL ATMOSPHERE, AND ATTRACTIVE, LIKE-MINDED PROFESSIONALS. FOR SINGLES IN THEIR 30S & 40S. MUSIC BY DJ BISHOP. HOSTED BY @HOTSPOTSNJ & @DJBISHOPCNJ.",DJ BISHOP,,0.9,3835390113681953696,True,False,2026-02-19 15:11:45
DJBISHOPCNJ,FRIDAY NIGHT,2026-02-20,10:00 PM,JAMA GRILLE SPORTSBAR • LOUNGE,PERTH AMBOY,CENTRAL,GET READY FOR A HIGH-ENERGY FRIDAY NIGHT AT JAMA GRILLE!,https://www.instagram.com/p/DU0jCcbES3Z/,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/634293638_18565032073059376_9011206430065103032_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHRlVpKjtlroNd7rG0OEMZCaohUJI5BjI3X38UYlS8m8udy83A-QiaCcHutsf8vUVw&_nc_ohc=p10lvxFFeikQ7kNvwGj-4bs&_nc_gid=Llg090BO5UqB9IRJ1R_B2A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfssnYXtfy4C1bHmW7HNjnpqlKHPdJrTtBGFiwSgo4IaVQ&oe=699CF642&_nc_sid=10d13b,https://www.instagram.com/p/DU0jCcbES3Z/,https://www.instagram.com/djbishopcnj/,CLUB NIGHT,BISHOP♗,"FRIDAY NIGHT, WE OUTSIDE. CITY ENERGY. IF YOU KNOW, YOU KNOW.",@DJBISHOPCNJ,FREE UNTIL 10PM,0.9,3833843282384858585,True,True,2026-02-19 15:11:45
DJBISHOPCNJ,WEEKLY FRIDAY NIGHT AT JAMA GRILLE,,9:00 PM,JAMA GRILLE SPORTSBAR • LOUNGE,PERTH AMBOY,CENTRAL,DON'T MISS OUT ON WEEKLY FRIDAY NIGHTS AT JAMA GRILLE!,https://www.instagram.com/p/DU0jCcbES3Z/,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/634293638_18565032073059376_9011206430065103032_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHRlVpKjtlroNd7rG0OEMZCaohUJI5BjI3X38UYlS8m8udy83A-QiaCcHutsf8vUVw&_nc_ohc=p10lvxFFeikQ7kNvwGj-4bs&_nc_gid=Llg090BO5UqB9IRJ1R_B2A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfssnYXtfy4C1bHmW7HNjnpqlKHPdJrTtBGFiwSgo4IaVQ&oe=699CF642&_nc_sid=10d13b,https://www.instagram.com/p/DU0jCcbES3Z/,https://www.instagram.com/djbishopcnj/,RECURRING EVENT,BISHOP♗,EACH AND EVERY FRIDAY. DOORS OPEN AT 9PM UNTIL 2AM. EARLY ARRIVAL RECOMMENDED.,,"EVERYONE FREE UNTIL 10PM, 2 BOTTLES FOR $30, $9 RUM PUNCHES, $3 SHOTS FOR $25 TIL 11 PM",0.8,3833843282384858585,True,True,2026-02-19 15:11:45
DJBISHOPCNJ,COFFEE AFTER DARK,2026-02-19,,CULTR.CULTR,,CENTRAL,DON'T MISS COFFEE AFTER DARK THIS WEEK!,https://www.instagram.com/p/DU3rKwrEaA9/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/628498837_791300627322657_5133651826362937921_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHvczR8l_pHASEIAZXgTtTPeWrCwozs6kmQIbOoeisAQFEZt6sdEI_RQ-PFiaAQT7k&_nc_ohc=5amo17S-cAAQ7kNvwE5GDeJ&_nc_gid=bNVlXTMoRF-zCvelHNQrBA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuZXI8uJtaqYzPAwQtCuJEq-d_o1BBHgirw3A8lfJzRLg&oe=699CE729&_nc_sid=10d13b,https://www.instagram.com/p/DU3rKwrEaA9/,https://www.instagram.com/djbishopcnj/,MUSIC,BISHOP♗,COFFEE AFTER DARK EVENT.,,,0.9,3834723463186194493,True,True,2026-02-19 15:11:45
