INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,IS RECURRING,PROCESSED TIMESTAMP
LOTUSROOFTOPNJ,KARAOKE + GAME NIGHT,2026-04-13,7:00 PM,LOTUSROOFTOP,NEW YORK,NORTH,SING YOUR HEART OUT AND PLAY TO WIN EVERY SUNDAY AT LOTUS ROOFTOP!,https://www.instagram.com/p/DXAXebQgbge/,https://instagram.fsac1-2.fna.fbcdn.net/v/t51.82787-15/670421440_17978445588006699_8464010529490348125_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2gHjLdgN-lXxkEYBDSWMUc9gD4YEqlm4WhKpwWRU3RuQf_nuZTMr97MMgA9OimRUQbzPn2A4EZ1kXi5L6Q26CbFT&_nc_ohc=UNPNjIRNGlAQ7kNvwH93hjz&_nc_gid=4cVJM_B3kCDFaryDxRdZgg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0kciiV673RgjGlNR4oqf_dj9BxLv1U7h5oP7qnbiqpIQ&oe=69E6C036&_nc_sid=10d13b,https://www.instagram.com/p/DXAXebQgbge/,https://www.instagram.com/lotusrooftopnj/,ENTERTAINMENT,LOTUS 🪷,KARAOKE + GAME NIGHT EVERY SUNDAY FROM 7PM-12AM. FEATURING UNO AND CARDS AGAINST HUMANITY.,COLA SWEET,FREE ENTRY,1,3873198925460650014,True,False,True,2026-04-16 18:52:32
AFRO_TACO,AFRO TACO DAILY SPECIAL,2026-04-14,12:00 PM,AFRO TACO,NEWARK,CENTRAL,GET YOUR TACO FIX WITH AFRO TACO'S AMAZING BUY-ONE-GET-ONE-HALF-OFF DEAL TODAY!,https://www.instagram.com/p/DXHR7NGkbBZ/,https://scontent.cdninstagram.com/v/t51.71878-15/670148737_796116286590249_7954937955282913582_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gF1SL7x6NYvQdLbtcw21tIPW2Qi_qUNVVwFIItMUi3Zwk1p7WnzntOpQomWEVDeKCw&_nc_ohc=IfMIqUr-mK0Q7kNvwEptlUs&_nc_gid=rtp_4gi7q2ddTnf7ihdQ5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af03O9Yh-C9jKgaRYUiXdoGCqpdktBGlvaYDIIwIQG1ECQ&oe=69E6D78F&_nc_sid=10d13b,https://www.instagram.com/p/DXHR7NGkbBZ/,https://www.instagram.com/afro_taco/,FOOD SPECIAL,CLIFF MILLS 973-803-3764,"BUY 1 SET OF TACOS, GET THE SECOND HALF OFF. OPEN 12-8PM.",,,0.8,3875144839684272217,True,False,False,2026-04-16 18:52:32
OFFICIAL.IOU,THE VICTORY LAP,2026-05-15,10:00 PM,THE LOBBY PATIO,ELIZABETH,CENTRAL,GET READY FOR THE BIGGEST CELEBRATION EVENT OF THE YEAR!,https://www.instagram.com/p/DXKpR9qiRhb/,https://scontent.cdninstagram.com/v/t51.82787-15/670163825_17976038325008539_7174576838419407192_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gE5qEYCqjeYSEBdW9wSY1hSuxWwcrPWlkudutLJwkfXeABghbAuDt3jSEpwx3RpdDg&_nc_ohc=3kqkgaZRyIgQ7kNvwEXf8gO&_nc_gid=vPorUuy9h9bE-9oslc5nbA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0lwUb0oeCuyTRdK24r-CRB32cvKvFZ4uy2e52mkAYOHQ&oe=69E6DA34&_nc_sid=10d13b,https://www.instagram.com/p/DXKpR9qiRhb/,https://www.instagram.com/official.iou/,CELEBRATION,ITS ONLY US,"THE BIGGEST CELEBRATION EVENT OF THE YEAR IS OFFICIALLY 30 DAYS OUT‼️ THE VICTORY LAP 🏁 IN 30 DAYS, WE THROW OUR CAPS, ACCOMPLISH OUR GOALS, AND CELEBRATE THE RIGHT WAY!","CARVELL, SUPREME, JAYBEATZ, JHASIRPOW, LEE LEE, DREAM TEAM, UNIVERSITY, IRWAND, NODERM",FREE WITH RSVP UNTIL 11:00 PM FOR GRADS,5,3876091983655671899,True,True,False,2026-04-16 18:52:32
LOTUSROOFTOPNJ,R2R MOE AT LOTUS ROOFTOP,2026-04-18,9:00 PM,LOTUSROOFTOP,PASSAIC,NORTH,WRAP UP ARIES SEASON WITH R2R MOE HITTING THE ROOFTOP THIS SATURDAY!,https://www.instagram.com/p/DXFqGB1gMkb/,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/662541170_17978696925006699_6764724541751661487_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEE6bzaXpXSaaXpV7XX_E9xVzueidl5McSPk8Utrz5A7db-DLYP23vKGpZv4MXgFBQ&_nc_ohc=cjxlU5NLlYsQ7kNvwFzjCKL&_nc_gid=gSCoxPvIK9JphE6kEvlYgA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1nF6dUIrcOH97xEJb3SHxLyADPjsSGKpt2A19vdhuYgQ&oe=69E6C6D1&_nc_sid=10d13b,https://www.instagram.com/p/DXFqGB1gMkb/,https://www.instagram.com/lotusrooftopnj/,MUSIC,LOTUS 🪷,R2R MOE HITS THE ROOFTOP TO WRAP UP ARIES SEASON WITH A BANG. CELEBRATING ALL NIGHT LONG. VIBES BY @DJFASTLIFE // @DJACE201 // @COZYBOYSWAY_ // @SLICKYOUSOMAXX. HAPPY HOUR 9-10PM. BOTTLE SPECIALS UNTIL 12AM.,"@DJFASTLIFE, @DJACE201, @COZYBOYSWAY_, @SLICKYOUSOMAXX, R2R MOE",,0.9,3874688186663880987,True,True,False,2026-04-16 18:52:32
LOTUSROOFTOPNJ,DEEVO & KXMORAA BIRTHDAY BASH,2026-04-18,9:00 PM,LOTUSROOFTOP,PASSAIC,NORTH,CELEBRATE DEEVO AND KXMORAA'S BIRTHDAYS WITH AN EPIC BASH THIS SATURDAY!,https://www.instagram.com/p/DXFqGB1gMkb/,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/662541170_17978696925006699_6764724541751661487_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEE6bzaXpXSaaXpV7XX_E9xVzueidl5McSPk8Utrz5A7db-DLYP23vKGpZv4MXgFBQ&_nc_ohc=cjxlU5NLlYsQ7kNvwFzjCKL&_nc_gid=gSCoxPvIK9JphE6kEvlYgA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1nF6dUIrcOH97xEJb3SHxLyADPjsSGKpt2A19vdhuYgQ&oe=69E6C6D1&_nc_sid=10d13b,https://www.instagram.com/p/DXFqGB1gMkb/,https://www.instagram.com/lotusrooftopnj/,BIRTHDAY,LOTUS 🪷,OFFICIAL BIRTHDAY BASH FOR @DEEVORALPH & @KXMORAA. CELEBRATING ALL NIGHT LONG. VIBES BY @DJFASTLIFE // @DJACE201 // @COZYBOYSWAY_ // @SLICKYOUSOMAXX. HAPPY HOUR 9-10PM. BOTTLE SPECIALS UNTIL 12AM.,"@DJFASTLIFE, @DJACE201, @COZYBOYSWAY_, @SLICKYOUSOMAXX, DEEVO, KXMORAA",,0.9,3874688186663880987,True,True,False,2026-04-16 18:52:32
LOTUSROOFTOPNJ,BLACKOUT SATURDAYS,2026-04-18,,LOTUSROOFTOP,PASSAIC,NORTH,GET READY FOR BLACKOUT SATURDAYS WITH LIVE MUSIC AND GREAT VIBES!,https://www.instagram.com/p/DXFqGB1gMkb/,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/662541170_17978696925006699_6764724541751661487_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEE6bzaXpXSaaXpV7XX_E9xVzueidl5McSPk8Utrz5A7db-DLYP23vKGpZv4MXgFBQ&_nc_ohc=cjxlU5NLlYsQ7kNvwFzjCKL&_nc_gid=gSCoxPvIK9JphE6kEvlYgA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1nF6dUIrcOH97xEJb3SHxLyADPjsSGKpt2A19vdhuYgQ&oe=69E6C6D1&_nc_sid=10d13b,https://www.instagram.com/p/DXFqGB1gMkb/,https://www.instagram.com/lotusrooftopnj/,PARTY,LOTUS 🪷,"BLACKOUT SATURDAYS FEATURING MUSIC BY FASTLIFE, ACE, KAYSLICK, AND SWAY. LADIES FREE UNTIL 10:30 PM WITH RSVP. BOTTLE SPECIALS AVAILABLE.","FASTLIFE, ACE, KAYSLICK, SWAY",LADIES FREE UNTIL 10:30 PM WITH RSVP,0.9,3874688186663880987,True,True,True,2026-04-16 18:52:32
SEESPOTRESCUED,BARKS & BREWS ADOPTION EVENT,2026-04-19,12:00 PM,902 BREWING,JERSEY CITY,NORTH,MEET ADORABLE ADOPTABLE DOGS AND ENJOY A REFRESHING BREW THIS SUNDAY!,https://www.instagram.com/p/DXHyrLziudI/,https://scontent-atl3-3.cdninstagram.com/v/t51.71878-15/671062472_1920114881998965_1109161770387711189_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gGIDHS9E-Anp24AuQfDJMrOgV0xu5vyxYKDjTJJO5AjW6JXA4QlCYX-gg86UcbBbK1TSiAwca68W8VSwHNvPmJi&_nc_ohc=iv6zx4lfrxQQ7kNvwEnRjx1&_nc_gid=r3smKypBaUnAs-sc0refZA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1b3qt1uuWaSt2XuxxKZXMjXukZFvQEJRlVFh-j32goUA&oe=69E6C6A9&_nc_sid=10d13b,https://www.instagram.com/p/DXHyrLziudI/,https://www.instagram.com/seespotrescued/,ADOPTION EVENT,SEE SPOT RESCUED,"JOIN SEE SPOT RESCUED FOR THEIR BARKS & BREWS ADOPTION EVENT. SIP, SNACK, AND SOCIALIZE WITH ADOPTABLE DOGS.",,,0.9,3875288874314557256,True,False,False,2026-04-16 18:52:32
BRVSHCUL7UR3,RODNEY GREEN TRIO LIVE,2026-04-25,8:00 PM,BRVSH CUL7UR3,TEANECK,NORTH,"EXPERIENCE PRECISION, SWING, AND SERIOUS MUSICIANSHIP WITH THE RODNEY GREEN TRIO!",https://www.instagram.com/p/DXKj46OE9h2/,https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/670247607_18132318292543512_9093574989237347654_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gFsNlJnuq4G-fN_wqawMyu6U4F8vxKMqrD-8EmQ1U8YX25bmiIdYKEQreG5NQcxduQ&_nc_ohc=0yjjl6ucwuYQ7kNvwH6hExg&_nc_gid=zYU92dP4ONYIQ0StHN7F_A&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2JxOP889kHnp85wbxvNVs4fv7WpEKVj3xcnDUON5VyIA&oe=69E6E457&_nc_sid=10d13b,https://www.instagram.com/p/DXKj46OE9h2/,https://www.instagram.com/brvshcul7ur3/,LIVE MUSIC,BRVSH CUL7UR3,"PRECISION, SWING, AND SERIOUS MUSICIANSHIP FROM ONE OF THE BEST IN THE GAME. RODNEY GREEN TRIO @JACKSON_MILLER_MUSIC TAKES THE STAGE.",RODNEY GREEN TRIO,,0.9,3876068271737526390,True,False,False,2026-04-16 18:52:32
PORTAASBURYPARK,SECRET GARDEN DINNER PARTY,2026-04-15,6:30 PM,PORTA ASBURY PARK,ASBURY PARK,CENTRAL,EXPERIENCE AN ENCHANTED EVENING WITH A SECRET GARDEN-INSPIRED SEASONAL MENU AND WINE PAIRINGS AT PORTA!,https://www.instagram.com/p/DXDQSfYDTbE/,https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/670940531_18352136167239973_1634593577513658315_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gE-2SWkqnrjj9atwI6eZTMzzJY8kHhHhFh8WDV_aGxTkql6xNWDzewGGcp6P73CAfo&_nc_ohc=x1ddG5YnfscQ7kNvwE_0t8j&_nc_gid=fuJIGeUiuFdW7c8UQ7OOhg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2Ls__lkwW7QKZfTQ68kr9-dr6SCw3OIAt5cQQKNCajnA&oe=69E6D343&_nc_sid=10d13b,https://www.instagram.com/p/DXDQSfYDTbE/,https://www.instagram.com/portaasburypark/,DINNER,PORTA ASBURY PARK,"JOIN US FOR AN ENCHANTED EVENING FEATURING A FRESH SEASONAL MENU WITH PERFECTLY PAIRED WINES INSPIRED BY A SECRET GARDEN. THE MENU INCLUDES A TARTLET TRIO, CUCUMBER AND ELDERFLOWER GAZPACHO, SEARED SCALLOPS, BRAISED SHORT RIB, AND ROSE PANNA COTTA.",,,0.9,3874011743853033156,True,False,False,2026-04-16 18:52:32
CZENENGLEWOOD,CINCO DE MAYO CELEBRATION,2026-05-05,2:00 PM,CZEN ENGLEWOOD,ENGLEWOOD,NORTH,"SPICE UP YOUR CINCO DE MAYO AT CZEN ENGLEWOOD WITH $7 MARGARITAS, TACO FLIGHTS, AND DJ NORIE!",https://www.instagram.com/p/DXMh_uCCFox/,https://scontent-ord5-3.cdninstagram.com/v/t51.71878-15/670961532_962565799602751_7285583744963203206_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gG5QBv41xGWpyxMOrMB678PdnjcrPVxKesrMYM3hJYeIz_wv8Gd288MBzPunOnAfJw&_nc_ohc=NeJFwjspZJQQ7kNvwH3GQUC&_nc_gid=wjKHbzSBeQYUS86mqdLcYA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3zEc8GyEYFctgHj6jZfFJk6AxAQcN7DirjgMJRr2i0cg&oe=69E6D825&_nc_sid=10d13b,https://www.instagram.com/p/DXMh_uCCFox/,https://www.instagram.com/czenenglewood/,HOLIDAY CELEBRATION,CZEN ENGLEWOOD,"CINCO DE MAYO CELEBRATION AT CZEN ENGLEWOOD WITH $7 MARGARITAS, $10 TACO FLIGHTS, OXTAIL BIRRIA & OXTAIL NACHOS. MUSIC BY DJ NORIE. GIVEAWAYS ALL NIGHT LONG.",DJ NORIE,"$7 MARGARITAS, $10 TACO FLIGHTS",0.9,3876622893547280945,True,False,False,2026-04-16 18:52:32
