event_name,date,day_of_week,time,end_time,venue_name,city,state,section_of_nj,address,price,description,performer,event_type,age_restriction,ticket_link,confidence,extracted_from,post_id,instagram_post_url,post_url,display_url,display_url_note,instagram_handle,instagram_profile_url,account_name,had_ocr,ocr_chars,post_date,extraction_timestamp,from_calendar,calendar_type,combined_text
Live Band Performances,2024-11-08,Friday,,,Delta's NB,,NJ,,,$8 per person,Live band performance. An entertainment fee of $8 per person will be applied for all live band performances.,,concert,,,high,['caption'],,https://www.instagram.com/p/DB9QTtYvCpS/,https://www.instagram.com/p/DB9QTtYvCpS/,,CDN URL - expires after few hours/days,deltas99,https://www.instagram.com/deltas99/,Delta's NB,False,0,2024-11-04T17:02:18+00:00,2025-11-28T14:23:53.526155,False,,"In our ongoing commitment to deliver the exceptional live music experience that Delta’s is renowned for, we will be introducing an entertainment fee applicable to all checks, effective Friday, October 25, 2024. 

This fee will enable us to support our talented musicians and further enhance your experience. An entertainment fee of $8 per person will be applied for all live band performances and First Fridays. 

We appreciate your understanding and continued support. "
First Fridays,2024-12-06,Friday,,,Delta's NB,,NJ,,,$8 per person,An entertainment fee of $8 per person will be applied.,,,,,high,['caption'],,https://www.instagram.com/p/DB9QTtYvCpS/,https://www.instagram.com/p/DB9QTtYvCpS/,,CDN URL - expires after few hours/days,deltas99,https://www.instagram.com/deltas99/,Delta's NB,False,0,2024-11-04T17:02:18+00:00,2025-11-28T14:23:53.526179,False,,"In our ongoing commitment to deliver the exceptional live music experience that Delta’s is renowned for, we will be introducing an entertainment fee applicable to all checks, effective Friday, October 25, 2024. 

This fee will enable us to support our talented musicians and further enhance your experience. An entertainment fee of $8 per person will be applied for all live band performances and First Fridays. 

We appreciate your understanding and continued support. "
Babes & Beards All Black Masquerade Ball,2025-10-17,,,,Vera's Bar & Grill,Cherry Hill,NJ,South,,,"An exclusive grown & sexy red carpet experience where bearded distinguished gentlemen and women of style and class collide making fashion statements that will be talked about for centuries. Get ready for a night of amazing music, beautiful decorations, and tons of surprises!",,party,,link in bio,high,['caption'],,https://www.instagram.com/p/DOOk8I-jltK/,https://www.instagram.com/p/DOOk8I-jltK/,,CDN URL - expires after few hours/days,traveling.sista.circle.society,https://www.instagram.com/traveling.sista.circle.society/,Traveling Sista Circle Society,False,0,2025-09-05T16:46:22+00:00,2025-11-28T14:23:56.299601,False,single,"🚨Save the Date: October 17
The Babes & Beards All Black Masquerade Ball isn’t just an event… it’s a movement.
An exclusive grown & sexy red carpet experience where bearded distinguished gentlemen and women of style and class collide making fashion statements that will be talked about for centuries.
When Kimberly Williams, Lady Lynn & Issac unite expect unstoppable energy, luxury, and at Vera’s Bar & Grill, Cherry Hill Dress like you’ve got a point to prove.🔥 🔥
Get ready for a night of amazing mu "
NOAHS AFTER DARK,2025-11-30,,21:00,,NOAH,Newark,NJ,North,119 Jackson St Newark NJ,,Presold Bottle Specials,"@kilsosouth2x, @iamdjfrankwhite, @itsdjswiggs",party,,,high,['caption'],,https://www.instagram.com/p/DRSwy8qjnJc/,https://www.instagram.com/p/DRSwy8qjnJc/,,CDN URL - expires after few hours/days,maddi_grafton,https://www.instagram.com/maddi_grafton/,Maddi,False,0,2025-11-20T21:21:07+00:00,2025-11-28T14:23:58.704598,False,single,"NOAHS AFTER DARK 🫣

NOVEMBER 30TH
DOORS OPEN AT 9PM

PRESOLD BOTTLE SPECIALS ‼️

VIBES BY 🎵
@kilsosouth2x 
@iamdjfrankwhite 
@itsdjswiggs 

NOAH
119 JACKSON ST NEWARK NJ

FOR MORE INFO CONTACT A PROMOTER OR 919-888-8835 "
DJ Antoine Qua Birthday Party,2026-01-31,,,,,,NJ,,,20,Theresa Griffin singing wonderful.,DJ Antoine Qua,party,,,high,['caption'],,https://www.instagram.com/p/DRil_cCDcxg/,https://www.instagram.com/p/DRil_cCDcxg/,,CDN URL - expires after few hours/days,djqua,https://www.instagram.com/djqua/,DJ Antoine Qua,False,0,2025-11-27T00:54:33+00:00,2025-11-28T14:23:59.566543,False,,Dj Antoine qua birthday party Jan 31 tickets $20 for one week only call for tickets now or to celebrate your birthday vendors $75 text 973-609-4651. For more information.Theresa griffin singing wonderful. 
"Good food, good vibes, games, and nonstop energy",2025-11-27,Thursday,21:00,02:00,42 Commerce St,Newark,NJ,North,42 Commerce St,null,"DJ UK Mike on deck!
$25 hookah before 10PM
Bottle specials before 12AM
$5 shots every hour
Ladies first shot free
Free all night with RSVP",DJ UK Mike,party,,,high,['caption'],,https://www.instagram.com/p/DRYeb-6Dsxp/,https://www.instagram.com/p/DRYeb-6Dsxp/,,CDN URL - expires after few hours/days,vibeandplaythursdays,https://www.instagram.com/vibeandplaythursdays/,VIBE & PLAY THURS,False,0,2025-11-23T02:36:08+00:00,2025-11-28T14:24:00.941021,False,single,"Thursday at Eko Atlantic! Good food, good vibes, games, and nonstop energy. DJ UK Mike on deck!

• $25 hookah before 10PM
• Bottle specials before 12AM
• $5 shots every hour
• Ladies first shot free
• Free all night with RSVP

📍42 Commerce St Newark
Info & tables: @buksnvibes
9PM -2AM "
Dj Antoine Qua birthday party,2026-01-31,,,,Lake Château,,NJ,,,$20,Early bird tickets are $20 and tables of 10 people $150 only for one week.,Theresa Griffin,party,,,high,['caption'],,https://www.instagram.com/p/DRhRvdfDZuQ/,https://www.instagram.com/p/DRhRvdfDZuQ/,,CDN URL - expires after few hours/days,djqua,https://www.instagram.com/djqua/,DJ Antoine Qua,False,0,2025-11-26T12:42:30+00:00,2025-11-28T14:24:02.414533,False,,Dj Antoine Qua birthday 🎁 party Jan 31 early bird tickets is $20 and tables of 10 people $150 only for one week get your tickets now and preforming live Theresa griffin singing wonderful we at lake château don’t wait. 
Capricorn and Aquarius Birthday Party,2026-01-31,,,,,,NJ,,,"$20 (early bird tickets), $200 (table for 10)",Celebration for Capricorns and Aquariuses.,DJ Qua,party,,,high,['caption'],,https://www.instagram.com/p/DRjogPejXoy/,https://www.instagram.com/p/DRjogPejXoy/,,CDN URL - expires after few hours/days,djqua,https://www.instagram.com/djqua/,DJ Antoine Qua,False,0,2025-11-27T10:35:44+00:00,2025-11-28T14:24:04.864392,False,,So with so much events on my plate I usually do the Capricorn birthday party early January but the schedule is crazy so I will celebrate with all Capricorns and all Aquarius Jan 31 so get your early bird tickets now tickets $20 and a table for 10 people is $200 only for a week lock in now trust me and anybody wants to celebrate with Qua text 973-609-4651 for tickets and all information it’s qua baby. 
New Year,2025-12-31,,,,Omega's Restaurant,Merchantville,NJ,South,,,Ring in the New Year with Us!,,party,,,high,['caption'],,https://www.instagram.com/p/DRLjXTmDMim/,https://www.instagram.com/p/DRLjXTmDMim/,,CDN URL - expires after few hours/days,omegas_merchantville,https://www.instagram.com/omegas_merchantville/,Omega's Restaurant,False,0,2025-11-18T02:11:31+00:00,2025-11-28T14:24:05.669116,False,single,Ring in the New Year with Us! 
Happy Hour,2025-11-19,,16:00,21:00,Eko Atlantic restaurant,,,,,,Sip more & spend less,,happy hour,,,high,['caption'],,https://www.instagram.com/p/DRQXi70DhQd/,https://www.instagram.com/p/DRQXi70DhQd/,,CDN URL - expires after few hours/days,ekoatlanticrestaurant,https://www.instagram.com/ekoatlanticrestaurant/,Eko Atlantic restaurant,False,0,2025-11-19T23:05:15+00:00,2025-11-28T14:24:08.263173,False,,"Happy Hour is from 4pm to 9pm, sip more & spend less at @ekoatlanticrestaurant 🥂🥂
#ekoatlanticrestaurant #happyhour #cocktails #special #mixology #foodie "
