event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Trippy Tuesday,2026-03-11,3:00 PM,Cherry's Lounge,Jersey City,North,Get ready for Trippy Tuesday specials at Cherry's Lounge!,Food & Drink Specials,"Drink Specials: $2 Shots (3PM-5PM), $4 Shots (5PM-6PM), 1/2 OFF Shots (6PM-9PM), 2 Tropical Lits ($17) (6PM-9PM), Jumbo House Margaritas ($16) (6PM-9PM). Food Specials: Nachos (Chicken or Steak) ($12.50/$17.50) (6PM-9PM), Nachos Bowls (Chicken or Steak) ($15.50/$20.50) (6PM-9PM), $2 OFF Quesadillas (6PM-9PM).",,$2 Shots,0.9,cherryslounge_bar_grill_,https://www.instagram.com/p/DVt51oZgelM/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/648723568_17927764188236656_4064862423973729805_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEzxfSMjV4q-H4WYw45VVnWGELECBd7ksOTHBMd1165aGk2i4y9PC7UAaCngTgC7rY&_nc_ohc=-IFc8hp81g0Q7kNvwFXNncr&_nc_gid=khgP6kMgGydkRErIbaE6vA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfztPOkQdMbV72XauwDdFaAMVfhpXRRGIKmQYa4rldDEdw&oe=69B8E0CA&_nc_sid=10d13b,https://www.instagram.com/p/DVt51oZgelM/,https://www.instagram.com/cherryslounge_bar_grill_/,Cherry’s Lounge,3849987630632659276,True,False
20 Years Still Standing,2026-03-13,2:00 PM,Cherry's Lounge,Cherry Hill,South,Celebrate 20 years of culture and community at Cherry's Lounge this March!,Anniversary Celebration,20 Years Still Standing: A Legacy. Serving Culture & Community. Featuring DJ K & DJ Bobby B.,"DJ K, DJ Bobby B",,0.9,a_sport_sharperson,https://www.instagram.com/p/DVqTMWrjKSs/,https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/649180469_1597268938059416_9208809016895423795_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QE1qijmiIuIj26FbI5rXACa_55-bPT16hOeXdjfGksqp1N0x1eE3IvBrjG0jzklFww&_nc_ohc=_TiijZ1dsMEQ7kNvwFScyNl&_nc_gid=SfjiSDQ7gsH7-yjeRWR8UQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzYYuoqKeg8or6FLRzjd5Emgb2wdJPxzNx3NgfM_zN-zw&oe=69B8F6D0&_nc_sid=10d13b,https://www.instagram.com/p/DVqTMWrjKSs/,https://www.instagram.com/a_sport_sharperson/,AS Sport,3848973243411899564,True,False
Awaken JC Open Mic Performance by Andrew Barralaga,2026-03-07,,VIP Restaurant Diner,Jersey City,North,Experience the vibrant Jersey City arts scene at Awaken JC Open Mic!,Open Mic,"Andrew Barralaga performed a cover of ""Let Down"" by Dead by Sunrise at the Awaken JC Open Mic. The event featured guitar by @diegotapiamusic, drums by @corychryz, and bass by @mobass623. Hosts included @empress_jlarok and @kufunyastarrebel. Video by @djlexandthecity.","Andrew Barralaga, @diegotapiamusic, @corychryz, @mobass623, @empress_jlarok, @kufunyastarrebel",,0.9,awakenjcopenmic,https://www.instagram.com/p/DVpIyiKiVXs/,https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/642975647_17898395505404500_1946239828198517110_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEh2ZcjpJ38Jyqcg56LaQob8MSRyM-oAnG8e9BV4dWSEhMInlTwkcfs5wgf9Tg1VEw&_nc_ohc=7-SjF2-JSiIQ7kNvwFaWArK&_nc_gid=aw90qpVacVtVrqeZ9AbbRg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afwp_nocqPGFUPVKiZUAmq6mk0qUrYKP_pZSTAlxEQ22gQ&oe=69B8D274&_nc_sid=10d13b,https://www.instagram.com/p/DVpIyiKiVXs/,https://www.instagram.com/awakenjcopenmic/,Awaken Jersey City Open Mic,3848646013594719724,True,False
Ladies Night Havana,2026-03-21,,Havana Cafe,Paterson,North,Get ready for an unforgettable Ladies Night at Havana Cafe with MAXOUT & Friends!,Ladies Night,"Ladies night, good music, good energy, and the city’s best crowd. 18+ to party | 21+ to drink.",MAXOUT & Friends,,0.9,ayemaxout,https://www.instagram.com/p/DVmN0oYDT_4/,https://scontent-mia3-3.cdninstagram.com/v/t51.82787-15/649518764_18568934806061194_1392438242223704032_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEJpSS1N4an63PF231sLEAYI0eeiQq12LeY_1-AJEXXR9jAr4_nRdN85nOS6mof1vk&_nc_ohc=iQa_5luex0oQ7kNvwETVUIn&_nc_gid=oBdpchExZ-kYsg4ASxauKw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzppXTDp9xTbHACvYWgg51iO5jCPfipIZCH49jITsiLNQ&oe=69B9097E&_nc_sid=10d13b,https://www.instagram.com/p/DVmN0oYDT_4/,https://www.instagram.com/ayemaxout/,Maxout🏄🏽‍♂️,3847823723005296632,True,False
Newark Day of Service,2026-04-18,11:00 AM,,Newark,North,Serve your community at the Newark Day of Service!,Community Service,"Join Black Women New Jersey for a statewide initiative to serve communities. Activities include creating care kits for senior centers, community cleanup, and networking with community leaders. Family-friendly service.",,,0.9,blackwomennj,https://www.instagram.com/p/DVrxmWUDVQI/,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/649893464_17987716343957018_5191796458383852426_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QH8n-KTv6EgucrWREEHAn8dzJ5sdNr7rowEE2LwJX_h6FwcSq9bISgIzlQmfjQawRxRZShfeZqWG5pyEwhld2-c&_nc_ohc=f8S38-3NU1EQ7kNvwEXga81&_nc_gid=EwOMgBZv6ueh66XJpxsg5A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfyZNV_qDzr76diYYjVOB3O44t-Qh_c3c0Gbw6Kkhg1R4Q&oe=69B8D2A5&_nc_sid=10d13b,https://www.instagram.com/p/DVrxmWUDVQI/,https://www.instagram.com/blackwomennj/,Black Women New Jersey,3849388446096118792,True,False
BIG FISH PISCES ♓️ BASH,2026-03-15,,The Vault Lounge,Newark,North,Dive into the BIG FISH PISCES ♓️ BASH this Saturday at The Vault Lounge!,Party,"BIG FISH PISCES ♓️ BASH
📍The Vault Lounge 
221 Washington Street, Newark NJ 

📥 @chop.life.crew 🌍",,,1.0,chop.life.crew,https://www.instagram.com/p/DVuQ2UjDEau/,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/651046317_18508282174074493_3678968087161246071_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGeeLR8SmVQEoAiHgZia__WVYlNZi4ZwROdBs1v0XxM8o51XxYFcY95vC91YZhGFyI&_nc_ohc=sOt7O92kTT8Q7kNvwH_F3vX&_nc_gid=yfAiLGJ7LuT3ZE9tRn7UUA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzaV8DEz8ShHF213RszIwpwoEZnwu30H0SoNyLpLIhdFA&oe=69B8E727&_nc_sid=10d13b,https://www.instagram.com/p/DVuQ2UjDEau/,https://www.instagram.com/chop.life.crew/,CLC Marketing Group LLC 🌍,3850088833107117742,False,False
Birthday Celebration for Netta,2026-03-13,6:00 PM,Cherry's Lounge,Jersey City,North,Celebrate Netta's birthday with a Pisces takeover at Cherry's Lounge!,Birthday Celebration,Pisces takeover for Netta's birthday celebration.,,,0.9,cherryslounge_bar_grill_,https://www.instagram.com/p/DVohG3jDmyy/,https://instagram.fmla1-2.fna.fbcdn.net/v/t51.71878-15/643565366_1450560656474199_3492584901408174713_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fmla1-2.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHhCl8wdFjIZoDq7_GDOwFPjBp9ZYYnSlLn29GozWAAzO9nBQS8CPTKfG-I1dLz_iU&_nc_ohc=JP_Q3Q-EeCMQ7kNvwGKYGJk&_nc_gid=OJFfMIuCCONKrxdI0f40XA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfyPTyHkxjtvCdKugxYQ2c0aEmquhL3xNxIBElGH-MIpDQ&oe=69B8E255&_nc_sid=10d13b,https://www.instagram.com/p/DVohG3jDmyy/,https://www.instagram.com/cherryslounge_bar_grill_/,Cherry’s Lounge,3848471489083763890,True,False
Awaken JC Open Mic - Friday Night,2026-03-07,6:00 PM,Barshay’s VIP Restaurant,Jersey City,North,"Experience a night of voice, expression & authentic truth at Awaken JC this Friday!",Open Mic,"Awaken JC returns with a special two-night experience in collaboration with JC Fridays, celebrating this month’s theme: Voice, Expression & Authentic Truth. Join us for powerful performances, open mic vibes, and soulful connection.",,Free before 7PM • $10 after,0.8,awakenjcopenmic,https://www.instagram.com/p/DVjJeehFdvZ/,https://instagram.fwzy1-2.fna.fbcdn.net/v/t51.82787-15/648642639_17897939046404500_2002540282145746288_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fwzy1-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QGvjz2qKVd5pa-ISJvELwNXO91TRgxr_kfCAe-Q7DqyrpQExxcJ8CWsoJuUxAb9cdk&_nc_ohc=oXf_Er2EUgwQ7kNvwEh1PoM&_nc_gid=_Gb-I8Kkp8Z5Qq6p_u96Lg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwUAGs49RglcfBZgzH9P3gm5SfHbnWAjzJ9w6zv5qdlcw&oe=69B8F065&_nc_sid=10d13b,https://www.instagram.com/p/DVjJeehFdvZ/,https://www.instagram.com/awakenjcopenmic/,Awaken Jersey City Open Mic,3846960183474772953,True,False
Awaken JC Open Mic - Saturday Night,2026-03-08,6:00 PM,Barshay’s VIP Restaurant,Jersey City,North,Saturday night at Awaken JC features a special lineup and open mic vibes!,Open Mic,"Awaken JC returns with a special two-night experience in collaboration with JC Fridays, celebrating this month’s theme: Voice, Expression & Authentic Truth. Saturday’s lineup includes: Hosted by J LaRock, Featured DJ Leeroy Green, Co-host Kufunya Star Rebel, Featured artist Frank Magnolia. Open mic vibes before and after the feature.","J LaRock, Leeroy Green, Kufunya Star Rebel, Frank Magnolia",Free before 7PM • $10 after,0.9,awakenjcopenmic,https://www.instagram.com/p/DVjJeehFdvZ/,https://instagram.fwzy1-2.fna.fbcdn.net/v/t51.82787-15/648642639_17897939046404500_2002540282145746288_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fwzy1-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QGvjz2qKVd5pa-ISJvELwNXO91TRgxr_kfCAe-Q7DqyrpQExxcJ8CWsoJuUxAb9cdk&_nc_ohc=oXf_Er2EUgwQ7kNvwEh1PoM&_nc_gid=_Gb-I8Kkp8Z5Qq6p_u96Lg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwUAGs49RglcfBZgzH9P3gm5SfHbnWAjzJ9w6zv5qdlcw&oe=69B8F065&_nc_sid=10d13b,https://www.instagram.com/p/DVjJeehFdvZ/,https://www.instagram.com/awakenjcopenmic/,Awaken Jersey City Open Mic,3846960183474772953,True,False
Panels,2025-07-16,,,,,Get ready for exciting panels and screenings from 3R Studios!,Panel,Panels as part of upcoming events by 3R Studios.,,,0.7,3r.studios,https://www.instagram.com/p/DMLfvxBOTJT/,https://instagram.fwbw1-1.fna.fbcdn.net/v/t51.71878-15/520239625_1808527759729706_4119668207142525033_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fwbw1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFNU40nM_lPmomz-_7gzrYhl29swqHE3bPua_G5v4DIp9JkObh3SW5AOO_HFXbUnvM&_nc_ohc=2NeqlMYAPNAQ7kNvwEbeU6u&_nc_gid=pkj__jQkPLg_vci4sQ4mEA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzaVh2TAkuBf2AdzHWzCCdfDru6c50XoUdrx-bJ0DLgdQ&oe=69B8E1E2&_nc_sid=10d13b,https://www.instagram.com/p/DMLfvxBOTJT/,https://www.instagram.com/3r.studios/,3R,3678173142569267795,True,False
