event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,is_recurring,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Stuffed Chicken Special,2026-04-24,,Crabbae,Maplewood,Central,Experience the delicious Stuffed Chicken at Crabbae today!,food special,Our Stuffed Chicken (stuffed organic Cornish hen) loaded with creamy Rasta Pasta and mac & cheese is a whole experience. This plate is heavy—you can easily feed two people. Don’t forget to add that hot sauce or your favorite dipping sauce… it takes it to another level.,,,0.8,False,crabbaemaplewood,https://www.instagram.com/p/DXg9mviB7YS/,https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/673798981_1351646000109525_2374155187350729431_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFLbynvUj-a7jwltS7bnTSWB5xOxWejzCfiFgmPCFkD8VULF1IxdPe7sSqzwinQ26o&_nc_ohc=MiLullH9pPoQ7kNvwE724ii&_nc_gid=5baKibdx7rc7mi0jykianQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af4ExRLrqkWeQmxmVvxZ0Ga5lNefc5Qaqb0R3zYt5p916Q&oe=69F9C9A3&_nc_sid=10d13b,https://www.instagram.com/p/DXg9mviB7YS/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3882373822007457298,False,False
RnB Spades Tournament,2026-06-13,4:00 PM,DREAM UPSCALE LOUNGE,LINDEN,Central,Get ready for an epic RnB Spades tournament with amazing prizes!,Tournament,Ace down. Rules announced upon arrival. Purchase $50 team participation fee to #reserve Your spot on #eventbrite link in #bio on Sale May 1st. $10 ENTRY DONATION FOR THE GOOD ENERGY VIBES. BRUNCH MENU AVAILABLE.,DJ VIRGO,$50 team participation fee / $10 entry donation,0.9,False,rnbspades,https://www.instagram.com/p/DXsalkjDG4z/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/682625478_18084969452151739_1267777170693216579_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gFQgyFPHFFGm7Pte_2pn24lv0cO1m5dl2kQGEAmfhrkcVTZWlDNDkaB4xIUgnlM32w&_nc_ohc=8W4tCidgKyIQ7kNvwGq1m_2&_nc_gid=tXqx7GuHUY0aESF4PPJ7IQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af6IDuR1rqpeWZb_oWQsA61JJY5uYWGP3OFE1yIA7iXGqQ&oe=69F9C1CA&_nc_sid=10d13b,https://www.instagram.com/p/DXsalkjDG4z/,https://www.instagram.com/rnbspades/,RnB Spades,3885597509586546227,True,False
Stand Up Comedy Night,2026-04-30,7:30 PM,Allegory,Montclair,North,Get ready for big laughs at this week's Stand Up Comedy Night!,Comedy,Our all new Stand Up Comedy Night series continues with another incredible lineup. 21+ • Big laughs • Real stand-up.,"Lizzy Cassidy, Greg Stone, Sam Evans, Karen Krents (Host)",$25,0.9,False,dwntwnmontclair,https://www.instagram.com/p/DXra4eUjoEC/,https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/681506298_17926568325322735_8572132625028861414_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gHywH3Wf-mgOi5qkLn8hU98Nc37fYSExthoW6uh_pjfy0xfaFlXH9d02hvyLjfVyVE&_nc_ohc=q9eyZ7afMckQ7kNvwGl0sPt&_nc_gid=cv2YaBSIsjAVDW3pw_pW7Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af6CFE90Mf8ruV0dvxv5wei20eZoWCZdAsljL5nrs4mHEg&oe=69F9D00E&_nc_sid=10d13b,https://www.instagram.com/p/DXra4eUjoEC/,https://www.instagram.com/dwntwnmontclair/,Downtown Montclair,3885317333594308866,True,False
Mother's Day Brunch w/ DJ Morae,2026-05-10,1:00 PM,Blended Flavors LLC,Linden,Central,Celebrate Mom with a delicious Mother's Day Brunch and beats by DJ Morae!,Brunch,"Mother's Day Brunch with DJ Morae. Bring Mom, Grandma, and the whole family.",@dj_morae,,1.0,False,blendedflavors,https://www.instagram.com/p/DXrjG2Mjh4z/,https://scontent-lax3-2.cdninstagram.com/v/t51.82787-15/681978034_18371763424201536_136375680800993426_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gF-WSYDGns8WNT6kLQg55HYe4EErfxYIYx1VQX5X6ZEY_ehQ0mqGBf1VDsf_Ci9qOE&_nc_ohc=yYj3tO2z6oIQ7kNvwEA-hdI&_nc_gid=PLTXRLk2QmVdHt1l6ZrKpA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af4x8XtvYxOWTw_3dpaTZ0jmmCHM007LsZUDRdoEP6mV8A&oe=69F9A1E4&_nc_sid=10d13b,https://www.instagram.com/p/DXrjG2Mjh4z/,https://www.instagram.com/blendedflavors/,Blended Flavors Restaurant,3885353505674632755,True,False
Jersey City Experience Yacht Party,2026-05-16,10:30 PM,Liberty Landing Marina,Jersey City,North,Sail into the night with the ultimate Jersey City yacht party!,Party,"JERSEY CITY EXPERIENCE YACHT PARTY featuring International Sounds (Afro Beats, Hip Hop, Dembow, RNB + More). Music by NJ Top DJs.",,,1,False,chop.life.crew,https://www.instagram.com/p/DXp_7-oleAA/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/682984909_18518665342074493_2443190279774473625_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gH_QisHGYi2sxWeJ6X-F-xusHtOOk4oYB3lxy9kM3tnVq8o1FrEIHz7QWPvwMgvuvM&_nc_ohc=BUh73GKdGGsQ7kNvwFNyp7z&_nc_gid=BRFWms7OD34P4YQJ5tdM6Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af4tYdFLuGzmLckSMQgKCl0KdoGEkjfzQZ4w43GJaWoYeQ&oe=69F9C28F&_nc_sid=10d13b,https://www.instagram.com/p/DXp_7-oleAA/,https://www.instagram.com/chop.life.crew/,CLC Marketing Group LLC 🌍,3884917352215994368,True,False
Burnside Manor at Crossroads,2026-05-09,6:00 PM,Crossroads,Garwood,Central,Catch Burnside Manor and friends live at Crossroads this May!,Concert,"Lineup: @sayitaintscorchonj (6-7 PM), Burnside Manor (7:30-8:30 PM), @therefluxcapacitors (8:45-10 PM), @caligulablushed.smithstribute (10 PM).","['@sayitaintscorchonj', 'Burnside Manor', '@therefluxcapacitors', '@caligulablushed.smithstribute']",$10,0.9,False,burnside_manor,https://www.instagram.com/p/DXu1F9jEc44/,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/684069320_17988389813991139_9107740809082710858_n.jpg?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gGn9psXDNxi9wEXbZQnfJvzudetXfeAwBO1mVL2fppDGZc2kOXijkojh2o0fkAVjoJ5U4YNmlmGjwF52i1O3jbM&_nc_ohc=I3Q82_2KI8IQ7kNvwFQcMlA&_nc_gid=ODvPZD3wlrvcOksWxrI2rw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af4Cj_7ENzf1Y6r_-bqQtLE-pKGi_eMGth0A1Pu_QoPvUA&oe=69F9A412&_nc_sid=10d13b,https://www.instagram.com/p/DXu1F9jEc44/,https://www.instagram.com/burnside_manor/,,3886277034616409656,True,False
Outside Lines: June,2026-06-05,2:00 PM,Noyes Arts Garage of Stockton University,Atlantic City,South,Join us for a FREE community meetup at the Noyes Arts Garage to spark connection and conversation with artists and neighbors!,community meetup,"Drop in for this FREE community meetup, convening artists, neighbors, collaborators, and the curious! Mini info session for 48 Blocks Festival 2026 applications will be offered. Informal and inclusive space to spark connection and conversation IRL. No pressure, no expectations. Just connection and community.",,Free,1,False,atlanticcitypublicarts,https://www.instagram.com/p/DXrf2JUjUTE/,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/679822047_1544784554318567_8568828910432889809_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGQggYeq8q6whsk8CZhrCgrK1EQUwQbN5scGgRGrH-XKA-gNsPQWAMx3tPVENfannQ&_nc_ohc=yGnHZLdG96wQ7kNvwHgxHTL&_nc_gid=4Fpq1QxZQ8ENvUQOx7mmtw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Af5VTNFyHOdSW-xTIzx_mUdWtGmMnrhn-kvJh8z_bi3mzQ&oe=69F9C4F9&_nc_sid=10d13b,https://www.instagram.com/p/DXrf2JUjUTE/,https://www.instagram.com/atlanticcitypublicarts/,Atlantic City Arts Foundation,3885339163839251652,True,False
Outside Lines: August,2026-08-28,,Fisherman's Park,Atlantic City,South,Connect with the community at Fisherman's Park for the next Outside Lines event!,community meetup,"Informal and inclusive space to spark connection and conversation IRL. No pressure, no expectations. Just connection and community.",,,1,False,atlanticcitypublicarts,https://www.instagram.com/p/DXrf2JUjUTE/,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/679822047_1544784554318567_8568828910432889809_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGQggYeq8q6whsk8CZhrCgrK1EQUwQbN5scGgRGrH-XKA-gNsPQWAMx3tPVENfannQ&_nc_ohc=yGnHZLdG96wQ7kNvwHgxHTL&_nc_gid=4Fpq1QxZQ8ENvUQOx7mmtw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Af5VTNFyHOdSW-xTIzx_mUdWtGmMnrhn-kvJh8z_bi3mzQ&oe=69F9C4F9&_nc_sid=10d13b,https://www.instagram.com/p/DXrf2JUjUTE/,https://www.instagram.com/atlanticcitypublicarts/,Atlantic City Arts Foundation,3885339163839251652,True,False
Outside Lines: November,2026-11-12,,Bar 32 Chocolate,Atlantic City,South,Join us for the next Outside Lines event at Bar 32 Chocolate for connection and community!,community meetup,"Informal and inclusive space to spark connection and conversation IRL. No pressure, no expectations. Just connection and community.",,,1,False,atlanticcitypublicarts,https://www.instagram.com/p/DXrf2JUjUTE/,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/679822047_1544784554318567_8568828910432889809_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGQggYeq8q6whsk8CZhrCgrK1EQUwQbN5scGgRGrH-XKA-gNsPQWAMx3tPVENfannQ&_nc_ohc=yGnHZLdG96wQ7kNvwHgxHTL&_nc_gid=4Fpq1QxZQ8ENvUQOx7mmtw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Af5VTNFyHOdSW-xTIzx_mUdWtGmMnrhn-kvJh8z_bi3mzQ&oe=69F9C4F9&_nc_sid=10d13b,https://www.instagram.com/p/DXrf2JUjUTE/,https://www.instagram.com/atlanticcitypublicarts/,Atlantic City Arts Foundation,3885339163839251652,True,False
48 Blocks Festival 2026 Applications,2026-05-22,,Noyes Arts Garage of Stockton University,Atlantic City,South,Get ready for the 48 Blocks Festival 2026! Applications open May 22nd.,application opening,48 Blocks Festival 2026 applications will open on May 22. A mini info session will be offered during Outside Lines on June 5.,,,1,False,atlanticcitypublicarts,https://www.instagram.com/p/DXrf2JUjUTE/,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/679822047_1544784554318567_8568828910432889809_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGQggYeq8q6whsk8CZhrCgrK1EQUwQbN5scGgRGrH-XKA-gNsPQWAMx3tPVENfannQ&_nc_ohc=yGnHZLdG96wQ7kNvwHgxHTL&_nc_gid=4Fpq1QxZQ8ENvUQOx7mmtw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Af5VTNFyHOdSW-xTIzx_mUdWtGmMnrhn-kvJh8z_bi3mzQ&oe=69F9C4F9&_nc_sid=10d13b,https://www.instagram.com/p/DXrf2JUjUTE/,https://www.instagram.com/atlanticcitypublicarts/,Atlantic City Arts Foundation,3885339163839251652,True,False
