event_name,date,day_of_week,time,venue_name,city,state,section_of_nj,price,event_type,instagram_handle,instagram_post_url,confidence,from_calendar,display_url,end_time,address,description,performer,age_restriction,ticket_link,extracted_from,post_id,post_url,display_url_note,instagram_profile_url,account_name,had_ocr,ocr_chars,post_date,extraction_timestamp,calendar_type,combined_text
Queen Latifah's Debut Album All Hail the Queen Release,1989-11-28,,,,Newark,NJ,North,,album release,hiphopandphilosophy,https://www.instagram.com/p/3776728471075094995/,high,False,https://instagram.fdet3-1.fna.fbcdn.net/v/t51.2885-15/587206510_18000949136831930_7953598071542962947_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdet3-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QGUeOK3SNyy980SbGuOohfk1i7h_Q7Ovg4sR2wTyBMmZZrDCZmsNWZ_PfWegUo96y4&_nc_ohc=18EKX6axyzYQ7kNvwEJUVqQ&_nc_gid=GWmFKb4PXF26XBAadARFHA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfmUmDUhcaEUQ1032u4_qcUZNpvIuAjhKrUgck_QYDwy9g&oe=6941F221&_nc_sid=10d13b,,,Queen Latifah released her debut album All Hail The Queen,Queen Latifah,,,"['alt_text', 'ocr']",3776728471075094995,https://www.instagram.com/p/DRpoojTiQHT/,CDN URL - expires after few hours/days,https://www.instagram.com/hiphopandphilosophy/,Professor Derrick Darby,True,258,2025-11-29T18:32:19+00:00,2025-12-12T19:46:50.796387,,"Today in Hip Hop and Philosophy- @queenlatifah is not just an incredible artist, but a visionary set on spreading the greater message of Hip Hop! 0123A456B-789(C)
TODAY IN HIP HOP AND
PHILOSOPHY HISTORY
NOVEMBER 29TH
HY QUEEN
LATIFAH
QUEE
HAIL THE
0123A456B-789(C)
QUEEN LATIFAH
RELEASED HER DEBUT
ALBUM ALL HAIL THE
QUEEN NOVEMBER 28,
1989
PROFESSOR DERRICK DARBY
@HIPHOPANDPHILOSOPHY
#DOINGTHEKNOWLEDGE"
Brand Nubian Released Their Debut Album One For All,1990-12-04,,,,,,,,album release,hiphopandphilosophy,https://www.instagram.com/p/3781192470642682696/,high,False,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/588989260_18001595708831930_631509822697253815_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGFWE2OKPlflKVGUKJl1RqQNK_ah5doa0wcbP1AwolRzBjxt_Dqb_SxJjxF-ALAc-g&_nc_ohc=UjaM8sGthW8Q7kNvwHm3LBb&_nc_gid=P3CqipEjEXDk8hoV8TQiNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfkcV5FQKPDhV_2ejVzGCDDjKbT0psIA91q3eSn9ZPaEcQ&oe=6941FEC5&_nc_sid=10d13b,,,Release of Brand Nubian's debut album One For All,Brand Nubian,,,"['ocr', 'alt_text']",3781192470642682696,https://www.instagram.com/p/DR5foS4CetI/,CDN URL - expires after few hours/days,https://www.instagram.com/hiphopandphilosophy/,Professor Derrick Darby,True,224,2025-12-05T22:21:29+00:00,2025-12-12T19:37:47.120588,,"Yesterday in Hip Hop and Philosophy history… a classic! @official_brand_nubian @sadatxbrandnubian @therealgrandpuba YESTERDAY IN HIP HOP AND
PHILOSOPHY HISTORY
DECEMBER 4TH
0123A456B-789(C)
ONE F
BA4568-7820
BRAND NUBIAN RELEASED
THEIR DEBUT ALBUM ONE
FOR ALL DECEMBER 4,
1990
PROFESSOR DERRICK DARBY
@HIPHOPANDPHILOSOPHY
#DOINGTHEKNOWLEDGE"
Create an image,2001-09-11,,08:46,,,,,,image generation,theaifield,https://www.instagram.com/p/3778007193577389232/,high,False,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/589064237_17981072993945574_2116298088955340925_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGnSbCVUT4CevSaxdBu77mB6YrskvhsWOUq3w94JpDSZHvd2Yldy8ruo0ZaFfTZ0wE&_nc_ohc=-QZA3kU0mt8Q7kNvwHSO5Kk&_nc_gid=RplBhLOSeT8zHgm1DFlPHw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afn2yuTRegb2CIgIk-rBNBwp8yOqE722p7fziigN1o3PYQ&oe=69422238&_nc_sid=10d13b,,,"Generate shockingly accurate images from exact coordinates, dates, and timestamps at 40.7128° N, 74.0060° W.",,,,"['ocr', 'alt_text']",3778007193577389232,https://www.instagram.com/p/DRuLYacDPyw/,CDN URL - expires after few hours/days,https://www.instagram.com/theaifield/,AI | Technology,True,236,2025-12-01T12:52:55+00:00,2025-12-12T16:42:08.995655,,"Nano Banana Pro is surprising people everywhere with how accurately it can create images using nothing but coordinates, dates, and exact timestamps.

Users are posting results that rebuild historical events, modern cities, natural landscapes, and even imagined scenes with an almost unsettling level of detail, all from typing in a latitude, longitude, and the time they want to visualize.

The model reads the location data, interprets the surroundings, and generates images that look like real phot Nano Banana Pro is Crazy...
""Create an image at 40.7128° N,
74.00600 W, September 11, 2001, 08:46
hours""
YESEY
CHURCHY
OAX
TAF
NANO BANANA PRO CAN GENERATE
SHOCKINGLY ACCURATE IMAGES
FROM EXACT COORDINATES, DATES,
AND TIMESTAMPS
SWIPE >"
Google Class-Action Lawsuit Settlement,2018-02-15,,,,Mountain View,CA,,,legal,blackmillionaires_,https://www.instagram.com/p/3785324614319708642/,high,False,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/592486846_18541273615028274_1981556037490327794_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFubwESYvIU13Hv07iC0ZO_WY3Swk_oY6ITxQNcDw_m6vT5DfsQaE2-vi4X5E1pYyU&_nc_ohc=EvG_FbxCLrUQ7kNvwEDz9Gc&_nc_gid=DjlXYPbATFszyRM34pEh9g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfkzhOTdGIp7xxXsvDv8IU0dH3_0RM-xX5kvLTiXNFSSsA&oe=694225C1&_nc_sid=10d13b,,,"Class-action lawsuit claiming Google favored white and Asian employees. The settlement covers employees at Google in California between February 15, 2018, and December 31, 2024.",,,,['caption'],3785324614319708642,https://www.instagram.com/p/DSILK5kEZni/,CDN URL - expires after few hours/days,https://www.instagram.com/blackmillionaires_/,Black Millionaires ®️,True,219,2025-12-11T15:11:19+00:00,2025-12-12T17:02:24.154952,,"Google agreed to pay $28 million to settle a class-action lawsuit claiming that it favored white and Asian employees by paying them more and putting them on higher career tracks than other workers.

The agreement with Google, a unit of Alphabet (GOOGL), won preliminary approval last week from Judge Charles Adams of the Santa Clara County Superior Court in California. He called the settlement fair, reasonable and “a good result for the class” of at least 6,632 people employed by Google in Califor Google Has Agreed To Pay Latino
Employees A $20 Million
Settlement As Long As They Did
Not Allow Black Employees
To Be Included, Says The Judge
Over The Class Action Lawsuit!
Google
BLACK
MILLIONAIRES ®
arch
I'm Feeling"
Earn Your Leisure First Episode Recording Anniversary,2019-01-23,,,,,,,,anniversary,earnyourleisure,https://www.instagram.com/p/3551517505907943462/,high,False,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/473036901_18158319712350107_8958335535410031984_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG4unmNZvKadEGLULSKkq8G855A8Ksj9EM4Nlt6X_zaR4JDnoavxnGhLe6Pi4kssaY&_nc_ohc=I2FMqUnHvPgQ7kNvwHDkU4A&_nc_gid=iW9khPzzLML_OzQUnVE5Cg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afkzt2diPkPkd2axKEKGEtC-bAoCsp_9R8Q0kn0q4rlwaA&oe=6941F240&_nc_sid=10d13b,,,Anniversary of the recording of the first episode of Earn Your Leisure,,,,"['caption', 'ocr']",3551517505907943462,https://www.instagram.com/p/DFJhlrZOWgm/,CDN URL - expires after few hours/days,https://www.instagram.com/earnyourleisure/,Earn Your Leisure,True,261,2025-01-23T00:58:20+00:00,2025-12-12T16:26:31.420621,,"Another Moment in Time. An extremely rare feat has been achieved—for the rest of our lives, we will hold the title of “New York Times Best-Selling Authors.”

Thank you to everyone who purchased a copy and for the support that has propelled us from the beginning to now. It’s fitting that we received this news on the 6th anniversary of our first episode. The office decor may be different, but the mission remains the same.

This is a reminder to always chase your dreams. The journey never stops! #Y New York Times
Best Selling
Authors!
Promize
On this day in January 2019, we recorded our
first episode at this office. Six years later, in the
same office, we received the news that we're
New York Times Best-Selling Authors
Our story is a testament to Miracles"
Meetings On The Mat,2020-09-01,,,,,NJ,,,Yoga/Meeting,signednik,https://www.instagram.com/p/2388844586871534567/,medium,False,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/118559446_1196415980742039_7407290805226666597_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QFGZ_Q9Zmz1ok_AxPHupj5Cl7yKc4VUSDmGNh3BtXOpjDu2L71ecjLtglwxVxS83Bg&_nc_ohc=E72uTwjvgRgQ7kNvwEl2qfp&_nc_gid=ftiFllbnt7AbFs0kjn1Iqw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfmoKNW2d9RfCtvkCqtR7hzVjHIQCKEL9kEkL4I4j6ugYg&oe=694202CE&_nc_sid=10d13b,,,Nicole C.F. is connecting with people on the mat throughout September. Check @meetingsonthemat for details.,Nicole C.F.,,,"['caption', 'hashtag']",2388844586871534567,https://www.instagram.com/p/CEm4X7AF7Pn/,CDN URL - expires after few hours/days,https://www.instagram.com/signednik/,Nicole C.F.,True,22,2020-09-01T20:34:47+00:00,2025-12-12T16:37:44.877271,monthly,"[ September 1 • Full Circle ]

I say this often, I mean it every time:
It’s easy to find God in September. 
In it’s breeze, 
In it’s harvest, 
In the bite of a freshly picked apple - bitter, yet sweet.

. . . I remember the September I found God, I began finding myself, forgave myself, loved ‘Nicole’ back to life.

Lately I’ve been working to bring that story - my story; as well as the stories and journeys of beautiful souls I have the pleasure of encountering, learning, growing and healing with matthews
ATOMX
O
DEITY"
New Product Launch,2021-07-12,Monday,,,,,,,product launch,thecurlrecipe,https://www.instagram.com/p/2614057743489089123/,high,False,https://scontent-hou1-1.cdninstagram.com/v/t51.29350-15/213829190_796331031050428_6023834473194967140_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFK39bhD37EO79K5yLc_-6FLYz51O7iWLunCzGZlGXL8No8--8XD18WHXtyLlUXkLI&_nc_ohc=qPjaGOJZsfoQ7kNvwEZSNSa&_nc_gid=S3O_PR1X1IP9YUR_pgjluA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfnxkMT0A4k3oKff2ledf7u8H3_GijIXDEkMGoq863ZBJA&oe=69422337&_nc_sid=10d13b,,,New products are dropping,,,,['caption'],2614057743489089123,https://www.instagram.com/p/CRG_6r3Br5j/,CDN URL - expires after few hours/days,https://www.instagram.com/thecurlrecipe/,"♡ Vegan Haircare for Curly, Coily + Textured Hair",True,39,2021-07-09T14:13:08+00:00,2025-12-12T17:00:17.586411,,"TURN ON YOUR POST NOTIFICATIONS!! 
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
NEW PRODUCTS ARE DROPPING MONDAY!! 🌱 HAVEN FOR NATURALIS
W.THECURLRECIPE.COM"
New Products Drop,2021-07-12,Monday,,,,,,,product launch,thecurlrecipe,https://www.instagram.com/p/2614057591948795157/,high,False,https://instagram.fjan1-1.fna.fbcdn.net/v/t51.29350-15/210510470_942704649629277_849419553275617472_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fjan1-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QEvdHrSSTe49lTWY_dTxonThDhU8vf3_2jRyPu8uM9UCSbO4Q25E4TUpSA4CIlkXis&_nc_ohc=aps6hEcyc08Q7kNvwH7z8ES&_nc_gid=Wgsm0iKIFZ9MCRj-_-LFlg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfmB0ENVC8xwX61PZEQMJdDJwf1IWsXbCybl5KJDbf74gA&oe=69421BC2&_nc_sid=10d13b,,,New products are dropping,,,,['caption'],2614057591948795157,https://www.instagram.com/p/CRG_4euhV0V/,CDN URL - expires after few hours/days,https://www.instagram.com/thecurlrecipe/,"♡ Vegan Haircare for Curly, Coily + Textured Hair",True,5,2021-07-09T14:12:50+00:00,2025-12-12T17:00:45.268485,,"TURN ON YOUR POST NOTIFICATIONS!! 
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
NEW PRODUCTS ARE DROPPING MONDAY!! 🌱 TS!
M"
New Products Launch,2021-07-12,Monday,,,,,,,product launch,thecurlrecipe,https://www.instagram.com/p/2614057860568831169/,high,False,https://instagram.fhsv1-1.fna.fbcdn.net/v/t51.29350-15/213229471_353612806116549_7013115972681307307_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fhsv1-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFBjg_Qwupwyn6W_d6t8ODzK6qjAM5PLIUMZt2STEZ8vu7rqHudVODegBJxsmpcFmg&_nc_ohc=RbGnHDnkxeAQ7kNvwEUHaF_&_nc_gid=qfKGbSlRSEzRHqWkxTrN4Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfmDHp27b3310BWZD1rCAfjieeNDmwxs31NwVSUHdB33aw&oe=69421D5E&_nc_sid=10d13b,,,"New vegan haircare products for curly, coily and textured hair are dropping.",,,,['caption'],2614057860568831169,https://www.instagram.com/p/CRG_8Y5hdTB/,CDN URL - expires after few hours/days,https://www.instagram.com/thecurlrecipe/,"♡ Vegan Haircare for Curly, Coily + Textured Hair",True,11,2021-07-09T14:13:22+00:00,2025-12-12T17:01:06.892361,single,"TURN ON YOUR POST NOTIFICATIONS!! 
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
NEW PRODUCTS ARE DROPPING MONDAY!! 🌱 A SAFE
www."
Big Fish Pisces Birthday Bash,2022-02-25,Friday,,,Boston,MA,,,party,djkenz_,https://www.instagram.com/p/CaQswHaLuNo/,high,False,https://scontent-lga3-1.cdninstagram.com/v/t51.29350-15/274542929_689820492197211_2252007481156943088_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGjiKjCl0T0Lbp87bQAq1GMzWet-q4qyC4EKKGlMyyO6V0CKRtD218VPtorNXDopF0&_nc_ohc=HLqPW4LBsNcQ7kNvwFhnC72&_nc_gid=5IqJ1UB7I5Bl_TMgqMo5sg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfmqstK3FegJ7DFhQegSe1LrnX-I7GMNjwpyZlUe8gCcfw&oe=69415723&_nc_sid=10d13b,,,Birthday Bash,,,,['caption'],,https://www.instagram.com/p/CaQswHaLuNo/,CDN URL - expires after few hours/days,https://www.instagram.com/djkenz_/,"DJ Kenz | NY & NJ DJ | Afrobeat, Hip-Hop & Dancehall Specialist",True,6,2022-02-22T01:20:37+00:00,2025-12-12T10:59:55.124005,,"Anoda Banger 💥 • @heisrema

The Energy Was Mad in Boston! Need That Same Energy For  Big Fish Pisces ♓️ Birthday Bash  FEBRUARY 25th🔥

🧵 : @eanhq 
📸 : @ksp_4u 
🎥 : @mikewestnyc 

.
.
.
.
.
.
.
.

#choplifecrew #clc #rave #rema #djkenz #concert #calmdown #fyp #likes #afrobeats #naso #
B
ST"
