Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
newarkisnow,"Newark,NJ Culture, News & Events",Food Distribution; Leaders for Life Fall 2025 Graduation; Speed Dating Night; Sexy Singles Mixer; Women's Haircut,"day-of-week plural, recurrence keyword, repeated branded name",11414,287
hdsid_jc,Historic Downtown Jersey City SID,FARMERS MARKET; HANDMADE MARKET; GROOVE ON GROVE - SEASON DEBUT; GROOVE ON GROVE - SEASON FINALE; TUESDAYS ARE FOR TAQUERIA,"day-of-week plural, recurrence keyword, repeated branded name",8432,135
houseofindependents,House of Independents,LINKIN PARK NIGHT; BIG BUBBLE RAVE; SALSA MONDAYS; ADAM DOLEAC; THE MOVIELIFE,"day-of-week plural, repeated branded name",5299,127
jcrestaurantfest,Jersey City Restaurant Owners Coalition,JERSEY CITY RESTAURANT FEST; FREE SOFT SERVE SATURDAYS; FREE SOFT SERVE SUNDAYS; Shop The Block Bingo; Meet Santa,"day-of-week plural, recurrence keyword, repeated branded name",4671,126
therinkskating,The Rink Skate,FAMILY SKATE; SKATE LESSONS; CHARACTER SKATE; ORGAN SKATE; TEEN SK8 BASH,"day-of-week plural, recurrence keyword, repeated branded name",4449,159
mamajuanacafewoodbridgenj,Mamajuana Cafe Woodbridge,HAPPY HOUR; LUISMI CROSSOVER; LIVE DJ TUESDAYS; WINE DOWN WEDNESDAYS; LIVE MUSIC THURSDAYS,"day-of-week plural, repeated branded name",4394,179
newarkhappening,Newark Happening,EARTH DAY EVERY DAY WEBINAR; WEEKLY EVENT ROUNDUP SUBMISSION; Holiday Season Kick Off; Holiday Season Events; Downtown Newark for the Holidays Submission,"recurrence keyword, repeated branded name",3896,25
summitdowntown,Downtown Summit NJ,SUMMIT FARMERS MARKET; SUMMIT FARMERS MARKET OPENING DAY; WEEKLY SPECIALS WEDNESDAYS; BRIDAL SEASON DECORATIONS; Small Business Saturday,"day-of-week plural, recurrence keyword, repeated branded name",3623,78
jerseyhalalspots,Jersey Halal Spots,Muslim Heritage Month Festival 2026; Nasheed Concert; Comedy Show; Muslim Heritage Month Festival; Grand Bazaar at the Muslim Heritage Month Festival,repeated branded name,3599,78
llewellynparq,Llewellyn Parq,LUNCH SPECIAL; HAPPY HOUR; LADIES NIGHT IN THE PARQ; KARAOKE NIGHT; $9.99 LUNCH,"day-of-week plural, repeated branded name",3293,89
wilsonslivemusic,Wilson’s Live Music,I LOVE R&B BRUNCH DAY PARTY; THROWBACK THURSDAYS; SOULFUL BUFFET BRUNCH; SEASON OF SOUL; LIVE DJ BRICCH EVERY SUNDAY,"day-of-week plural, recurrence keyword, repeated branded name",3164,79
mswcamden,MSW Camden ( Roller Skating ),ADULT NIGHT SKATE; ADULT SKATE NIGHT; LADY NIGHTS; ROOFTOP NIGHTS; Let's Get Active Adult Skate,"recurrence keyword, repeated branded name",3150,127
arthouseproductions,Art House Productions,JC FRIDAYS - LED VIDEO ART TRUCK SCREENINGS; VIDEO SUBMISSION DEADLINE FOR JC FRIDAYS; FOCUS: INNOVATIVE CHOREOGRAPHY SERIES; JC FRIDAYS; JC FRIDAYS VIDEO ART TRUCKS,"day-of-week plural, recurrence keyword, repeated branded name",2790,66
baranticipation,Bar Anticipation,COUNTRY & LINE DANCING; HARMONY PROJECT LIVE; BEAT THE CLOCK TUESDAY; COUNTRY WEDNESDAY; BURGER MONDAYS,"day-of-week plural, repeated branded name",2742,182
dolcelounge,Dolce Lounge & Restaurant,LINE DANCING; HAPPY HOUR; LUNCH SERVICE; HOUSE MUSIC NIGHT; LUNCH,"day-of-week plural, repeated branded name",2661,169
sunrisetequilabar,Sunrise Tequila Bar | Rooftop Lounge,VALENTINE'S SEASON KICK-OFF: SIPS + SHOPPING; HAPPY HOUR; SUSHI; DJ NATER; DJ LUAP,"recurrence keyword, repeated branded name",2638,90
dreamupscalelounge,Dream Upscale Lounge,LINE DANCE CLASS; LADIES NIGHT; HAPPY HOUR; SUNDAY BRUNCH; DEY NOT LIKE US DAY PARTY,"day-of-week plural, recurrence keyword, repeated branded name",2571,110
blackmillionaires_,Black Millionaires ®️,AT&T Data Incident Settlement Final Approval Hearing; D.C. Wolfe Charter School Opening; I Dream Big Academy Launch; Boxing Match Challenge; Trump's Birthday Free Entrance to National Parks,repeated branded name,2500,88
djwallah,djwallah,SHOWTIME SUNDAYS; DEMON TIME WEDNESDAYS; DEMON TIME WEDNESDAYS AT FOXES GENTLEMENS CLUB; $50 FRIDAYS | HOT 97 TAKEOVER; 1ST FRIDAYS: REGGAE/SOCA VS HIP HOP/R&B,"day-of-week plural, recurrence keyword, repeated branded name",2457,196
martells_tikibar,Martell’s Tiki Bar,MUSHMOUTH LIVE; TIKI BAR SEASON OPENING; Lunch with a view; Martell’s Tiki Bar Private Barrel Select – Blanton’s Original Single Barrel Bourbon Whiskey Pre-Sale; Martell’s Tiki Bar Private Barrel Select – Blanton’s Original Single Barrel Bourbon Whiskey Pickup,"recurrence keyword, repeated branded name",2372,75
djqua,DJ Antoine Qua,DJ QUA LIVE; DJ ANTOINE QUA LIVE; DAZZLING SATURDAYS AT SKYLARK DINER; SIZZLING SATURDAYS AT SKYLARK DINER; SKYLARK SATURDAYS,"day-of-week plural, recurrence keyword, repeated branded name",2349,176
palacedinerberlin,Palace Diner - Tapped Bar,OPEN JAZZ JAM SESSION; OPEN STAGE; SUITCASE MURPHY; KARAOKE; SINDI RAYMOND BAND,"day-of-week plural, recurrence keyword, repeated branded name",2316,91
festivalsunitednwk,FUN (Festivals United Newark),Newark Winter Village; Newark Winter Village Food Trucks & Treats; Newark Winter Village Tree Lighting Celebration; Newark Winter Village Opening Day; Hanging out in a heated igloo,repeated branded name,2262,26
thelobbynj,The Lobby,SUNDAYS AFTER DARK; BICHOTA SEASON: KAROL G NIGHT; THURSDAY NIGHTS; VIBE DINING THURSDAYS; UPSCALE FRIDAYS,"day-of-week plural, recurrence keyword, repeated branded name",2238,157
birdieslattes,Birdies & Lattes,MID-SEASON LEAGUE CHECK-IN; BGL SEASON 4: SPRING FORWARD; BGL SEASON 3 CHAMPIONSHIP; WINTER PGA JR. LEAGUE SEASON - FINAL ROUND; INDOOR GOLF SEASON BEGINS,"recurrence keyword, repeated branded name",2234,49
njpac,NJPAC,JESSIE MUELLER & SETH RUDETSKY: SETH'S BROADWAY CONCERT SERIES; CROWDER; ALVIN AILEY AMERICAN DANCE THEATER; MANUEL MEDRANO; HASAN HATES RONNY | RONNY HATES HASAN,"recurrence keyword, repeated branded name",2231,111
danceandgohome,DANCE AND GO HOME!,DANCE AND GO HOME; DANCE & GO HOME 2 YEAR ANNIVERSARY; MEMORIAL DAY RAVE; DANCE AND GO HOME CAPETOWN; Clubhouse Rave,repeated branded name,2198,69
bigshotswoodbridge,Big Shots Restaurant & Lounge,PONG NIGHT; FLASHBACK FRIDAYS: DECADES EDITION; BLIND BOX FRIDAYS - SLOW JAM'S NIGHT; R&B SPRING EDITION; BIGSHOTS THURSDAYS,"day-of-week plural, repeated branded name",2187,131
pilatesxthree,Pilates Pilates Pliates ™️,WEEKLY PILATES SCHEDULE; TAX SEASON RELIEF; Pilates birthday party; PX3 Classes; PX3 Sculpt + Strengthen,"recurrence keyword, repeated branded name",2185,46
oldyorkcellars,Old York Cellars,VINTNER'S CLUB WEEKEND; WINE & COMEDY NIGHT; HUNTERDON WINE EXPRESS SEASON START; Wines-giving Weekend Supporting the Flemington Area Food Pantry; Season of Giving Kickoff - Discounted Tasting & Wine Purchase Donation,"recurrence keyword, repeated branded name",2112,74
thehobokengirl,The Hoboken Girl®,WEEKLY NEWS ROUNDUP; HOBOKEN + JERSEY CITY WEEKLY NEWS ROUNDUP; THEMED TRIVIA NIGHTS; FLIP CUP NIGHTS AT JFK STADIUM; BOLLYWOOD NIGHTS DESI PARTY,"recurrence keyword, repeated branded name",2043,115
kinnectnj,Kinnect NJ,LADIES NIGHT; PRAISE PARTY; FLASHY FRIDAYS; OU LA NIGHTS; SUNSET FRIDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1989,31
prucenter,Prudential Center,WORLD ELITE SUMO; BRUCE SPRINGSTEEN AND THE E STREET BAND; UFC 328; Christian Nodal; Mega Bash,"recurrence keyword, repeated branded name",1958,91
brvshcul7ur3,Brvsh Cul7ur3,BRVSH NIGHTS: R&B EDITION; BRVSH NIGHTS RNB EDITION; BRVSH NIGHTS: RNB EDITION; BRVSH CUL7UR3 NIGHTS; The Newark Academy Christmas Show,"day-of-week plural, recurrence keyword, repeated branded name",1928,90
birchhoboken,BIRCH HOBOKEN,FEVER DREAM FRIDAYS: MODO NOCTURNO; FEVER DREAM FRIDAYS; BIRCH FUNHAUS; FINAL DAY PARTY OF SEASON; BIRCH FUNHAUS SATURDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1914,136
citylounge973,The City Lounge,WINTER WONDERLAND WEDNESDAYS; HAPPY HOUR; RNB THURSDAYS; FRIDAYS AT THE CITY LOUNGE; SATURDAYS AT THE CITY LOUNGE,"day-of-week plural, recurrence keyword, repeated branded name",1912,97
newjersey_afrolife,Newjersey Afrolife,WEEKLY EVENT AT ODABRO EXPERIENCE; All Black Affair; Dine-In; HOLIDAY LIVE SHOWCASE; AFTER PARTY,"day-of-week plural, recurrence keyword, repeated branded name",1902,66
earnyourleisure,Earn Your Leisure,"BLACK OUT; MARKET MONDAYS; MARKET MONDAYS W/ 19 KEYS; MARKET MONDAYS FEAT.; Conversation with Vlad Tenev, CEO and founder of @robinhoodapp","day-of-week plural, recurrence keyword, repeated branded name",1852,158
blendedflavors,Blended Flavors Restaurant,DINE IN & TAKE OUT; AFTER WORK FRIDAYS; Thanksgiving Catering; Live Music with DJ Wise Choice; Brunch with live DJ,"day-of-week plural, repeated branded name",1834,63
cityofnewarknj,"City of Newark, NJ - City Hall",38TH ANNUAL SING IN PRAISE OF KING; NEWARK FORWARD AUCTION; Unveiling of new public murals by Helina Metaferia; Christmas Tree Lighting; Unveiling of public murals by Helina Metaferia,"recurrence keyword, repeated branded name",1823,119
newarkmuseumart,The Newark Museum of Art,STORIES IN EVERY STITCH: CELEBRATING AMINAH ROBINSON; Art After Dark: Drip & Dagger; Art After Dark; Special event with artist Roberto Lugo at Government House in Annapolis; Journey Home Art Kick-Back,"recurrence keyword, repeated branded name",1819,49
ikoyirestaurantnj,Ikoyi Restaurant and Lounge,LATE NIGHT VIBE; HAPPY HOUR; DOWNTOWN NIGHTS AT IKOYI; DINNER SERVICE; AFROBEAT SUNDAY,"day-of-week plural, recurrence keyword, repeated branded name",1770,64
handmademarket_jc,Jersey City Art Market,HANDMADE MARKET; HANDMADE MARKET - WEDNESDAYS; HANDMADE MARKET - SATURDAYS; HANDMADE MARKET - LIVE MUSIC; Holiday Market,"day-of-week plural, repeated branded name",1758,19
cryoutcave,CRYOUT Cave/Gallery,THE SAVAGE SHOWCASE; OUTCRY: THE $200 SLAM; SOUTH GROVE SERIES SHOWCASE; NEWARK HAS COMEDY (OPEN MIC); SOUTH GROVE ST SERIES,"recurrence keyword, repeated branded name",1753,31
funtrenton,City of Trenton Parks & Recreation,KICKBALL FUN DAY (AGES 6-12); YOUTH FISHING DERBY; CINEMA CLASSICS SERIES: AKEELAH AND THE BEE; CINEMA CLASSICS SERIES: THE SIX TRIPLE EIGHT; 105TH ANNUAL GREAT EGG HUNT,"day-of-week plural, recurrence keyword, repeated branded name",1703,53
hobohappyhours,Hoboken Happy Hours,HOBOKEN MAC & CHEESE FESTIVAL; 7TH ANNUAL HOBOKEN MAC & CHEESE FESTIVAL; 12 Days of Giveaways - Day 2; 12 Days of Giveaways - Day 2 (Ends); 12 DAYS OF GIVEAWAYS Day 3,repeated branded name,1689,78
frvd.run,FRVD RUNNING,FRVD LADIES RUN; REY SOL COFFEE RUN; TUESDAYS RUN; GENERAL COFFEE RUN; FRVD LADIES WORKOUT,"day-of-week plural, recurrence keyword, repeated branded name",1671,54
therichexp,The RICH Experience Collective🔥,SOULFUL SATURDAYS: AQUARIUS & PISCES CELEBRATION; SOULFUL SATURDAYS; ENCORE THURSDAYS; SOULFUL SATURDAYS (BLACK HISTORY MONTH EDITION); SOULFUL SATURDAYS: THE BHM EDITION,"day-of-week plural, recurrence keyword, repeated branded name",1612,88
bmr_snj,BMR-South New Jersey Chapter,Rothman 8K; Bordentown Turkey Trot; Track workout; Philly Marathon; AC Seawall,repeated branded name,1601,33
djvillain_supa_villansound,Supa Villansound,GALENTINES PARTY; SUPER BOWL WATCH PARTY; TEQUILA 'N' TACOS - SATURDAYS; CARIBBEAN NIGHT; CARIBBEAN SATURDAY,"day-of-week plural, recurrence keyword, repeated branded name",1577,142
portajerseycity,Porta Jersey City,LATIN NIGHT WITH MATTMATTIC; Porta Fam Birthday Celebration; Birthday cake shots & Funfetti cupcakes; $5 cans + @sundayscaries.party; Extended Dinner Service,repeated branded name,1564,33
zurablooms,ZURA Blooms,"INSIDE FLOW MASTERCLASS W/ HIE KIM; INSIDE YOGA: ALIGN, FLOW & STRETCH; INSIDE FLOW; VINYASA FLOW ALIGNMENT & INSIDE FLOW; Black Friday Sale - 10 Classes for $150",repeated branded name,1535,56
czenenglewood,CZEN Englewood,FIRST FRIDAYS WITH DJ SELF; TINI THURSDAYS; TACO TUESDAYS; FIRST FRIDAYS X MARCH MADNESS; FIRST FRIDAYS: ISLAND VS CITY,"day-of-week plural, recurrence keyword, repeated branded name",1532,70
theporttavernbarandgrill,The Port Tavern,BOTTLE SERVICE & HOOKAH; THURSDAYS WAVE; WAVVY NIGHTS; LADIES NIGHT; R&B WEDNESDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1505,103
visitmercernj,Mercer NJ,Mercer County Turkey Trot; Walk/Fun Run; Vintage Holiday Pop-Up; Shop local for holiday gifts; Dine at neighborhood favorites,repeated branded name,1463,43
signaturzsportsbar,Signaturz,SEAFOOD WEDNESDAYS; FTK FRIDAYS; Fight Night; Pop Up Shop; FTK FRIDAY,"day-of-week plural, repeated branded name",1457,39
vuerooftopbar,VÜE Rooftop Bar,MARDI GRAS MASQUERADE; WINE DOWN WEDNESDAY; LADIES NIGHT; TWO FOR TUESDAYS; KARAOKE NIGHT,"day-of-week plural, recurrence keyword, repeated branded name",1435,92
thepillarsnwk,The Pillars,"WEEKLY EVENTS; Visit The Pillars to explore the Bloom Bar, craft your own scent, and shop natural products; Dawn Fitch shares the story behind the name ""Pooka.""; Pooka: 2-for Black Friday sale (all weekend); Vibes Before Dark: Small Business Saturday Pop-Up","day-of-week plural, recurrence keyword, repeated branded name",1399,22
bmr_nnj,Black Men Run North New Jersey,"Richmond, VA Half Marathon; Standing in Solidarity Series: CHECK UP ON MEN’S HEALTH; group run; D&I Fitness Turkey Trot 5K Run; 2025 AACR Philadelphia Marathon","recurrence keyword, repeated branded name",1392,46
downtowntrenton,Trenton Downtown Association,Small Business Saturday; Young Men's Empowerment Gathering; 20th Stop the Wrecking Ball; FreeStyle Forever; Open Art,repeated branded name,1372,39
